주차장관리번호,주차장명,주차장구분,주차장유형,소재지도로명주소,소재지지번주소,주차구획수,급지구분,부제시행구분,운영요일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,요금정보,주차기본시간,주차기본요금,추가단위시간,추가단위요금,1일주차권요금적용시간,1일주차권요금,월정기권요금,결제방법,특기사항,관리기관명,전화번호,위도,경도,장애인전용주차구역보유여부,데이터기준일자
101-1-000006,DDP동측(양쪽),공영,노상,서울특별시 중구 을지로7가 2-36,서울특별시 중구 을지로7가 2-36,20,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,,,,,,,,서울시설공단,02-2290-6449,37.5659142,127.0083832,,2021-07-30
101-1-000007,DDP북측 마장로,공영,노상,서울특별시 중구 신당동 222-3,서울특별시 중구 신당동 222-3,4,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,,,,,,,,서울시설공단,02-2290-6449,37.5682336,127.0087238,,2021-07-30
116-1-000002,가마산고가밑,공영,노상,서울특별시 구로구 구로동 414-13,서울특별시 구로구 구로동 414-13,18,3,미시행,평일+토요일+공휴일,09:00,19:00,09:00,15:00,00:00,00:00,혼합,5,120,,,,,,,,서울시설공단,,37.4936301,126.8808756,,2021-07-30
117-1-000001,가산동 금천교,공영,노상,서울특별시 금천구 가산동 677,서울특별시 금천구 가산동 677,39,2,미시행,평일+토요일+공휴일,09:00,19:00,09:00,15:00,00:00,00:00,혼합,5,200,,,,,,,,서울시설공단,,37.4665283,126.8854333,,2021-07-30
115-2-000004,가양3동,공영,노외,서울특별시 강서구 가양동 1488-12,서울특별시 강서구 가양동 1488-12,56,2,미시행,평일+토요일+공휴일,09:00,19:00,09:00,15:00,00:00,00:00,혼합,5,200,,,,,,,,서울시설공단,,37.560291,126.8575623,,2021-07-30
115-2-000003,가양라이품,공영,노외,서울특별시 강서구 강서로 515,서울특별시 강서구 가양동 1457-1,38,2,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,유료,5,170,,,,,,,,서울시설공단,02-2290-6449,37.5715089,126.8394353,,2021-07-30
115-2-000001,개화산역,공영,노외,서울특별시 강서구 방화동 845,서울특별시 강서구 방화동 845,322,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,유료,5,170,,,,,,,,서울시설공단,02-2290-6064,37.5721961,126.8029701,,2021-07-30
115-2-000002,개화역,공영,노외,서울특별시 강서구 개화동로8길 19,서울특별시 강서구 개화동 664,483,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,유료,5,170,,,,,,,,서울시설공단,02-2290-6312,37.567267,126.8020324,,2021-07-30
115-2-000005,공항동(송정역),공영,노외,서울특별시 강서구 공항동 42-8,서울특별시 강서구 공항동 42-8,11,3,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,유료,5,0,,,,,,,,서울시설공단,,37.5603002,126.808447,,2021-07-30
100-1-000017,관철동,공영,노상,서울특별시 종로구 청계천로 83,서울특별시 종로구 관철동 11-4,7,2,미시행,평일+토요일+공휴일,09:00,22:00,09:00,14:00,00:00,00:00,혼합,5,430,,,,,,,,서울시설공단,,37.5684501,126.9845248,,2021-07-30
