주차장관리번호,주차장명,주차장구분,주차장유형,소재지도로명주소,소재지지번주소,주차구획수,급지구분,부제시행구분,운영요일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,요금정보,주차기본시간,주차기본요금,추가단위시간,추가단위요금,1일주차권요금적용시간,1일주차권요금,월정기권요금,결제방법,특기사항,관리기관명,전화번호,위도,경도,장애인전용주차구역보유여부,데이터기준일자
109-4-000046,무수골주말농장,민영,노외,서울특별시 도봉구 도봉동 463-1,서울특별시 도봉구 도봉동 463-1,49,기타,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,,,,,0,,,민간사업자,02-4722-7036,37.67646,127.03277,,2017-04-30
109-1-000001,도봉동 352-0 주차장,민영,노외,서울특별시 도봉구 도봉동 352,서울특별시 도봉구 도봉동 352,6,5,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,,,,,0,,,민간사업자,02-000-0000,37.6905685,127.0412505,,2017-04-30
109-1-000001,도봉동 364-1 음식점 주차장,민영,노외,서울특별시 도봉구 도봉동 364-1,서울특별시 도봉구 도봉동 364-1,11,5,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,,,,,0,,,민간사업자,02-000-0000,37.6917773,127.0454336,,2017-04-30
109-1-000001,아비스주차장,민영,노외,서울특별시 도봉구 도봉로 622,서울특별시 도봉구 창동 749-14,10,5,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,,,,,0,,,민간사업자,02-000-0000,37.6598746,127.0418585,,2017-04-30
109-4-000044,오토주차장,민영,노외,서울특별시 도봉구 도봉로152가길 148,서울특별시 도봉구 도봉동 92-73,28,기타,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,,,,,0,,,민간사업자,02-202-4691,37.67609,127.04514,,2017-04-30
109-4-000030,한양주차장,민영,노외,서울특별시 도봉구 도봉로 113길 16,서울특별시 도봉구 쌍문동 94-50,9,3,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,유료,0,0,,,,,0,,,민간사업자,02-6384-3061,37.64824,127.03325,,2017-04-30
109-4-000031,쌍문화주차장,민영,노외,서울특별시 도봉구 도봉로 469-1,서울특별시 도봉구 쌍문동 96-24,16,3,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,유료,0,0,,,,,0,,,민간사업자,02-356-6416,37.64763,127.0338,,2017-04-30
109-4-000032,쌍문주차장,민영,노외,서울특별시 도봉구 도봉로 451,서울특별시 도봉구 쌍문동 103-1,50,2,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,유료,0,0,,,,,0,,,민간사업자,02-9084-8995,37.6463,127.03294,,2017-04-30
109-4-000033,261주차장,민영,노외,서울특별시 도봉구 시루봉로,서울특별시 도봉구 쌍문동 261,24,기타,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,,,,,0,,,민간사업자,02-000-0000,37.65644,127.02849,,2017-04-30
109-4-000034,인터넷익스프레스,민영,노외,서울특별시 도봉구 시루봉로,서울특별시 도봉구 방학동 600-9,7,기타,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,,,,,0,,,민간사업자,02-000-0000,37.66974,127.03699,,2017-04-30
109-4-000035,방학주차장,민영,노외,서울특별시 도봉구 방학로,서울특별시 도봉구 방학동 468-1,23,5,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,유료,0,0,,,,,0,,,민간사업자,02-3493-0088,37.66185,127.02359,,2017-04-30
109-4-000036,새동네주차장,민영,노외,서울특별시 도봉구 도봉산길,서울특별시 도봉구 도봉동 282-2,23,5,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,유료,0,0,,,,,0,,,민간사업자,02-955-9522,37.68768,127.04346,,2017-04-30
109-4-000037,기현주차장,민영,노외,서울특별시 도봉구 시루봉 29길 10,서울특별시 도봉구 도봉동 617-28,7,기타,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,,,,,0,,,민간사업자,02-206-7411,37.67167,127.04335,,2017-04-30
109-4-000038,서울사다리조합,민영,노외,서울특별시 도봉구 도봉로 171길 60,서울특별시 도봉구 도봉동 592-0,25,기타,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,,,,,0,,,민간사업자,02-949-2000,37.67883,127.04029,,2017-04-30
109-4-000040,도봉전철,민영,노외,서울특별시 도봉구 도봉로 170길 2,서울특별시 도봉구 도봉동 62-20,206,기타,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,,,,,0,,,민간사업자,02-000-0000,37.68103,127.04576,,2017-04-30
109-4-000042,신운중기,민영,노외,서울특별시 도봉구 방학로,서울특별시 도봉구 방학동 592-0,4,기타,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,,,,,0,,,민간사업자,02-000-0000,37.66303,127.01976,,2017-04-30
109-4-000043,인봉주차장,민영,노외,서울특별시 도봉구 도봉로153길 30 (도봉동),서울특별시 도봉구 도봉동 611-26,27,4,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,유료,0,0,,,,,0,,,민간사업자,02-954-4071,37.67001,127.04169,,2017-04-30
109-4-000045,텃골주차장,민영,노외,서울특별시 도봉구 시루봉로23가길 11-64,서울특별시 도봉구 도봉동 451,12,기타,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,,,,,0,,,민간사업자,02-000-0000,37.67277,127.03855,,2017-04-30
109-4-000048,바로선병원주차장,민영,노외,서울특별시 도봉구 창동 749-9,서울특별시 도봉구 창동 749-9,21,3,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,유료,0,0,,,,,0,,,민간사업자,02-5340-4451,37.66038,127.04249,,2017-04-30
