주차장관리번호,주차장명,주차장구분,주차장유형,소재지도로명주소,소재지지번주소,주차구획수,급지구분,부제시행구분,운영요일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,요금정보,주차기본시간,주차기본요금,추가단위시간,추가단위요금,1일주차권요금적용시간,1일주차권요금,월정기권요금,결제방법,특기사항,관리기관명,전화번호,위도,경도,장애인전용주차구역보유여부,데이터기준일자
122-1-000005,언주로147길,공영,노상,서울특별시 강남구 언주로 147길,,13,1,미시행,평일,09:00,19:00,00:00,00:00,00:00,00:00,유료,5,400,5,400,,,150000,카드+현금+무통장+지로,,강남구도시관리공단,1544-3113,37.5193644,127.0323682,,2024-07-05
122-1-000006,도산대로45길,공영,노상,서울특별시 강남구 언주로 154길,,32,1,미시행,평일,10:00,20:00,00:00,00:00,00:00,00:00,유료,5,400,5,400,,,150000,카드+현금+무통장+지로,,강남구도시관리공단,1544-3113,37.5232251,127.0345108,,2024-07-05
122-1-000007,언주로171길,공영,노상,서울특별시 강남구 언주로 171길,,30,1,미시행,평일,09:00,19:00,00:00,00:00,00:00,00:00,유료,5,400,5,400,,,150000,카드+현금+무통장+지로,,강남구도시관리공단,1544-3113,37.5277673,127.032123,,2024-07-05
122-1-000008,선릉로146길,공영,노상,서울특별시 강남구 선릉로 146길,,30,1,미시행,평일,10:00,20:00,00:00,00:00,00:00,00:00,유료,5,400,5,400,,,150000,카드+현금+무통장+지로,,강남구도시관리공단,1544-3113,37.5219005,127.0424583,,2024-07-05
122-1-000009,선릉로132길,공영,노상,서울특별시 강남구 선릉로 132길,,17,1,미시행,평일,09:00,19:00,00:00,00:00,00:00,00:00,유료,5,400,5,400,,,0,카드+현금+무통장+지로,,강남구도시관리공단,1544-3113,37.5187291,127.0439015,,2024-07-05
122-1-000010,테헤란로64길,공영,노상,서울특별시 강남구 테헤란로 64길,,8,1,미시행,평일,09:00,19:00,00:00,00:00,00:00,00:00,유료,5,400,5,400,,,0,카드+현금+무통장+지로,,강남구도시관리공단,1544-3113,37.5037597,127.0512298,,2024-07-05
122-1-000011,영동대로85길,공영,노상,서울특별시 강남구 삼성로 86길,,79,1,미시행,평일,09:00,19:00,00:00,00:00,00:00,00:00,유료,5,400,5,400,,,150000,카드+현금+무통장+지로,,강남구도시관리공단,1544-3113,37.5058992,127.0587841,,2024-07-05
122-1-000012,테헤란로26길,공영,노상,서울특별시 강남구 테헤란로 26길,,10,1,미시행,평일,09:00,19:00,00:00,00:00,00:00,00:00,유료,5,400,5,400,,,0,카드+현금+무통장+지로,,강남구도시관리공단,1544-3113,37.4995564,127.0358295,,2024-07-05
122-1-000013,논현로28길,공영,노상,서울특별시 강남구 논현로28길,,66,2,미시행,평일,09:00,19:00,00:00,00:00,00:00,00:00,유료,5,300,5,300,,,120000,카드+현금+무통장+지로,,강남구도시관리공단,1544-3113,37.4836036,127.0446624,,2024-07-05
122-1-000014,영동대로106길,공영,노상,서울특별시 강남구 영동대로106길,,21,2,미시행,평일,09:00,19:00,00:00,00:00,00:00,00:00,유료,5,300,5,300,,,0,카드+현금+무통장+지로,,강남구도시관리공단,1544-3113,37.5139455,127.0633953,,2024-07-05
122-1-000015,영동대로96길,공영,노상,서울특별시 강남구 영동대로 96길,,13,2,미시행,평일,09:00,19:00,00:00,00:00,00:00,00:00,유료,5,300,5,300,,,0,카드+현금+무통장+지로,,강남구도시관리공단,1544-3113,37.5109127,127.0643199,,2024-07-05
122-1-000016,남부순환로397길,공영,노상,서울특별시 강남구 남부순환로 397길,,31,2,미시행,평일,09:00,19:00,00:00,00:00,00:00,00:00,유료,5,300,5,300,,,120000,카드+현금+무통장+지로,,강남구도시관리공단,1544-3113,37.4938113,127.0600561,,2024-07-05
122-1-000017,대치동507-3,공영,노상,서울특별시 강남구 삼성로 151길,서울특별시 강남구 대치동 507-3,27,2,미시행,평일,09:00,19:00,00:00,00:00,00:00,00:00,유료,5,300,5,300,,,120000,카드+현금+무통장+지로,,강남구도시관리공단,1544-3113,37.4933415,127.0626234,,2024-07-05
