주차장관리번호,주차장명,주차장구분,주차장유형,소재지도로명주소,소재지지번주소,주차구획수,급지구분,부제시행구분,운영요일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,요금정보,주차기본시간,주차기본요금,추가단위시간,추가단위요금,1일주차권요금적용시간,1일주차권요금,월정기권요금,결제방법,특기사항,관리기관명,전화번호,위도,경도,장애인전용주차구역보유여부,데이터기준일자
124-2-000001,해공공영주차장,공영,노외,서울특별시 강동구 구천면로 29길 11,서울특별시 강동구 천호동 404-1번지,342,3,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,유료,5,150,5,150,0,0,98000,"현금,카드",,서울특별시강동구도시관리공단,02-470-0988,37.541035,127.128835,,2021-08-25
124-2-000006,천호유수지공영주차장,공영,노외,서울특별시 강동구 선사로 70,서울특별시 강동구 천호동 329번지,172,4,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,유료,5,100,5,100,0,0,70000,"현금,카드",,서울특별시강동구도시관리공단,02-473-3124,37.544765,127.121876,,2021-08-25
124-2-000008,천호1동공영주차장,공영,노외,서울특별시 강동구 구천면로 42길 60,서울특별시 강동구 천호동 87-26번지,190,3,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,유료,5,150,5,150,0,0,90000,"현금,카드",,서울특별시강동구도시관리공단,02-487-0073,37.54498842,127.1362643,,2021-08-25
124-2-000003,천호2동공영주차장,공영,노외,서울특별시 강동구 천호동 457-7,서울특별시 강동구 천호동 457-7번지,13,2,미시행,평일+토요일+공휴일,09:00,19:00,09:00,18:00,09:00,18:00,유료,5,250,5,250,0,0,42000,"현금,카드",,서울특별시강동구도시관리공단,070-7547-3512,37.540301,127.123006,,2021-08-25
124-2-000009,천호3동공영주차장,공영,노외,서울특별시 강동구 진황도로 29길 34,서울특별시 강동구 천호동 167-195번지,189,3,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,유료,5,150,5,150,0,0,80000,"현금,카드",,서울특별시강동구도시관리공단,02-472-0066,37.53912813,127.133257,,2021-08-25
124-2-000010,온조대왕옆공영주차장,공영,노외,서울특별시 강동구 동남로 918,서울특별시 강동구 고덕동 302번지,27,3,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,유료,5,150,5,150,0,0,0,"현금,카드",,서울특별시강동구도시관리공단,02-2045-7800,37.55567021,127.1569356,,2021-08-25
124-2-000004,안말공영주차장,공영,노외,서울특별시 강동구 풍성로 45길 11,서울특별시 강동구 성내동 512번지,174,3,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,유료,5,150,5,150,0,0,90000,"현금,카드",,서울특별시강동구도시관리공단,02-482-3194,37.531212,127.129905,,2021-08-25
124-2-000005,암사1동공영주차장,공영,노외,서울특별시 강동구 고덕로 28길 36,서울특별시 강동구 암사동 산59-2번지,114,3,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,유료,5,150,5,150,0,0,80000,"현금,카드",,서울특별시강동구도시관리공단,02-428-2431,37.552752,127.137985,,2021-08-25
124-2-000007,강일동공영주차장,공영,노외,서울특별시 강동구 아리수로 91길 54,서울특별시 강동구 강일동 665-4번지,85,3,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,유료,5,150,5,150,0,0,80000,"현금,카드",,서울특별시강동구도시관리공단,02-427-6124,37.56598207,127.1722779,,2021-08-25
124-2-000011,명일동공영주차장,공영,노외,서울특별시 강동구 구천면로 395,서울특별시 강동구 명일동 312-250번지,243,3,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,유료,5,150,5,150,0,0,100000,"현금,카드",,서울특별시강동구도시관리공단,02-442-6124,37.551013,127.1429069,,2021-08-25
