주차장관리번호,주차장명,주차장구분,주차장유형,소재지도로명주소,소재지지번주소,주차구획수,급지구분,부제시행구분,운영요일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,요금정보,주차기본시간,주차기본요금,추가단위시간,추가단위요금,1일주차권요금적용시간,1일주차권요금,월정기권요금,결제방법,특기사항,관리기관명,전화번호,위도,경도,장애인전용주차구역보유여부,데이터기준일자
108-1-000030,아카데미,공영,노상,서울특별시 강북구 4.19로 25,서울특별시 강북구 인수동 543-76번지,37,3,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,5,200,5,200,24,10000,100000,카드+계좌이체,,강북구도시관리공단,02-944-3025,37.6474065,127.0113669,N,2025-04-25
108-2-000026,수유쌈지,공영,노외,서울특별시 강북구 도봉로 265,서울특별시 강북구 수유동 612-6,19,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,5,250,5,250,24,20000,150000,카드+계좌이체,,강북구도시관리공단,02-944-3025,37.6320481,127.0235551,Y,2025-04-25
108-1-000031,교육청길,공영,노상,서울특별시 강북구 도봉로20가길 3,서울특별시 강북구 송중동 137-19번지,80,3,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,5,200,5,200,24,10000,100000,카드+계좌이체,,강북구도시관리공단,02-944-3025,37.6187374,127.0297161,N,2025-04-25
108-2-000016,오패산,공영,노외,서울특별시 강북구 도봉로34길 54,서울특별시 강북구 미아동 133-100,76,5,미시행,평일+토요일,00:00,23:59,00:00,23:59,00:00,00:00,유료,5,150,5,150,24,10000,60000,카드+계좌이체,,강북구도시관리공단,02-944-3025,37.6220897,127.0311622,Y,2025-04-25
108-2-000005,미아동,공영,노외,서울특별시 강북구 도봉로61길 46,서울특별시 강북구 미아동 222-100,155,5,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,5,150,5,150,24,10000,80000,카드+계좌이체,,강북구도시관리공단,02-944-3025,37.6285602,127.0223435,Y,2025-04-25
108-2-000007,수유마을시장,공영,노외,서울특별시 강북구 도봉로69길 29,서울특별시 강북구 수유1동 55-53번지,116,5,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,5,150,5,150,24,10000,80000,카드+계좌이체,,강북구도시관리공단,02-944-3025,37.6305304,127.0218524,Y,2025-04-25
108-2-000025,송중동(임시),공영,노외,서울특별시 강북구 도봉로8길 67,서울특별시 강북구 미아동 860-123,6,3,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,5,200,5,200,24,10000,100000,카드+계좌이체,,강북구도시관리공단,02-944-3025,37.6112017,127.0335232,Y,2025-04-25
108-1-000029,벽산,공영,노상,서울특별시 강북구 삼각산로 140,서울특별시 강북구 수유동 36-1,36,3,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,5,200,5,200,24,10000,100000,카드+계좌이체,,강북구도시관리공단,02-944-3025,37.6409017,127.0197223,N,2025-04-25
108-2-000015,냉천길,공영,노외,서울특별시 강북구 삼양로 230-12,서울특별시 강북구 미아동 756-1,104,3,미시행,평일+토요일,00:00,23:59,00:00,23:59,00:00,00:00,유료,5,200,5,200,24,10000,100000,카드+계좌이체,,강북구도시관리공단,02-944-3025,37.6240065,127.0195388,Y,2025-04-25
108-2-000004,교통광장,공영,노외,서울특별시 강북구 삼양로 678,서울특별시 강북구 우이동 265,158,3,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,5,200,5,200,24,10000,100000,카드+계좌이체,,강북구도시관리공단,02-944-3025,37.6633705,127.0126653,Y,2025-04-25
108-2-000021,가오리,공영,노외,서울특별시 강북구 삼양로107길 30,서울특별시 강북구 수유동 349-3,120,5,미시행,평일+토요일,00:00,23:59,00:00,23:59,00:00,00:00,유료,5,150,5,150,24,10000,60000,카드+계좌이체,,강북구도시관리공단,02-944-3025,37.6416051,127.0149889,Y,2025-04-25
