주차장관리번호,주차장명,주차장구분,주차장유형,소재지도로명주소,소재지지번주소,주차구획수,급지구분,부제시행구분,운영요일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,요금정보,주차기본시간,주차기본요금,추가단위시간,추가단위요금,1일주차권요금적용시간,1일주차권요금,월정기권요금,결제방법,특기사항,관리기관명,전화번호,위도,경도,장애인전용주차구역보유여부,데이터기준일자
115-3-000004,봉제산근린공원,공영,부설,,서울특별시 강서구 화곡동 산41-6,56,5,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,5,50,5,50,,,50000,신용카드,"국가유공상이자,장애인,고엽제후유의증환자 80할인+경차 및 저공해자동차 50할인",서울특별시 강서구청,02-2065-1575,37.54213444,126.8510719,Y,2025-04-02
115-3-000005,마곡안전체험관,공영,부설,서울특별시 강서구 마곡중앙로 13,서울특별시 강서구 내발산동 739,36,4,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,5,100,5,100,,,70000,신용카드,"국가유공상이자,장애인,고엽제후유의증환자 80할인+경차 및 저공해자동차 50할인",서울특별시 강서구청,02-2065-1575,37.55454108,126.8258394,Y,2025-04-02
115-1-000020,화곡1동 달구지길,공영,노상,서울특별시 강서구 월정로28길 14,서울특별시 강서구 화곡동 359-121,29,2,미시행,평일+토요일,09:00,19:00,09:00,15:00,00:00,00:00,유료,5,250,5,250,,,120000,신용카드,"국가유공상이자,장애인,고엽제후유의증환자 80할인+경차 및 저공해자동차 50할인",서울특별시 강서구청,02-2607-9113,37.532988,126.837414,Y,2025-04-02
115-1-000019,화곡1동 배다리서길,공영,노상,서울특별시 강서구 강서로5나길 6,서울특별시 강서구 화곡동 949-7,255,2,미시행,평일+토요일,09:00,19:00,09:00,15:00,00:00,00:00,유료,5,200,5,200,,,120000,신용카드,"국가유공상이자,장애인,고엽제후유의증환자 80할인+경차 및 저공해자동차 50할인",서울특별시 강서구청,02-2607-9113,37.528779,126.847886,Y,2025-04-02
115-1-000021,"화곡2,4,8동 배다리동길",공영,노상,서울특별시 강서구 국회대로7길 196,서울특별시 강서구 화곡동 949-5,308,2,미시행,평일+토요일,09:00,19:00,09:00,15:00,00:00,00:00,유료,5,200,5,200,,,120000,신용카드,"국가유공상이자,장애인,고엽제후유의증환자 80할인+경차 및 저공해자동차 50할인",서울특별시 강서구청,02-2607-9113,37.529024,126.849947,Y,2025-04-02
115-1-000022,화곡6동 방죽길,공영,노상,서울특별시 강서구 공항대로46길 35,서울특별시 강서구 화곡동 1109-1,49,2,미시행,평일+토요일,09:00,19:00,09:00,15:00,00:00,00:00,유료,5,250,5,250,,,120000,신용카드,"국가유공상이자,장애인,고엽제후유의증환자 80할인+경차 및 저공해자동차 50할인",서울특별시 강서구청,02-2607-9113,37.554165,126.8524896,Y,2025-04-02
115-1-000023,화곡6동 신학대길,공영,노상,서울특별시 강서구 화곡로 302,서울특별시 강서구 화곡동 980-17,30,2,미시행,평일+토요일,09:00,19:00,09:00,15:00,00:00,00:00,유료,5,250,5,250,,,120000,신용카드,"국가유공상이자,장애인,고엽제후유의증환자 80할인+경차 및 저공해자동차 50할인",서울특별시 강서구청,02-2607-9113,37.550966,126.849532,Y,2025-04-02
115-1-000024,등촌3동 구암길,공영,노상,서울특별시 강서구 공항대로39길 74,서울특별시 강서구 등촌동 709-20,49,2,미시행,평일+토요일,09:00,19:00,09:00,15:00,00:00,00:00,유료,5,250,5,250,,,120000,신용카드,"국가유공상이자,장애인,고엽제후유의증환자 80할인+경차 및 저공해자동차 50할인",서울특별시 강서구청,02-2607-9113,37.561217,126.844636,Y,2025-04-02
115-1-000025,등촌3동 꿈나무길,공영,노상,서울특별시 강서구 공항대로 351-21,서울특별시 강서구 등촌동 709-16,61,2,미시행,평일+토요일,09:00,19:00,09:00,15:00,00:00,00:00,유료,5,250,5,250,,,120000,신용카드,"국가유공상이자,장애인,고엽제후유의증환자 80할인+경차 및 저공해자동차 50할인",서울특별시 강서구청,02-2607-9113,37.560599,126.847619,Y,2025-04-02
115-3-000001,화곡4-1,공영,부설,서울특별시 강서구 곰달래로57가길 20,서울특별시 강서구 화곡동 809-26,202,5,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,5,50,5,50,,,50000,신용카드,"국가유공상이자,장애인,고엽제후유의증환자 80할인+경차 및 저공해자동차 50할인",서울특별시 강서구청,02-2065-1575,37.534301,126.861044,Y,2025-04-02
