주차장관리번호,주차장명,주차장구분,주차장유형,소재지도로명주소,소재지지번주소,주차구획수,급지구분,부제시행구분,운영요일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,요금정보,주차기본시간,주차기본요금,추가단위시간,추가단위요금,1일주차권요금적용시간,1일주차권요금,월정기권요금,결제방법,특기사항,관리기관명,전화번호,위도,경도,장애인전용주차구역보유여부,데이터기준일자
120-1-000012,낙성대제2공영주차장,공영,노상,,서울특별시 관악구 봉천동 220-8,23,3,미시행,평일+토요일,10:00,20:00,10:00,17:00,00:00,00:00,유료,0,0,,,,,100000,카드결제,,서울특별시 관악구시설관리공단,02-2081-2678,37.47499084,126.959844,,2025-04-16
120-1-000013,낙성대제1공영주차장,공영,노상,,서울특별시 관악구 봉천동 1693-62,20,3,미시행,평일+토요일,10:00,20:00,10:00,20:00,00:00,00:00,유료,5,150,,,,,,카드결제,,서울특별시 관악구시설관리공단,02-2081-2678,37.47811545,126.9590433,,2025-04-16
120-1-000014,삼성동제1공영주차장,공영,노상,,서울특별시 관악구 신림동 808-500,74,3,미시행,평일,10:00,20:00,00:00,00:00,00:00,00:00,유료,5,150,,,,,100000,카드결제,,서울특별시 관악구시설관리공단,02-2081-2678,37.46797457,126.9311088,,2025-04-16
120-1-000015,조원동제2공영주차장,공영,노상,,서울특별시 관악구 신림동 1675-8,27,2,미시행,평일,10:00,20:00,00:00,00:00,00:00,00:00,유료,5,250,,,,,,카드결제,,서울특별시 관악구시설관리공단,02-2081-2678,37.483543,126.9031094,,2025-04-16
120-1-000016,서원동제1공영주차장,공영,노상,,서울특별시 관악구 신림동 1642-7,27,2,미시행,평일+토요일,10:00,20:00,10:00,20:00,00:00,00:00,유료,5,250,,,,,,카드결제,,서울특별시 관악구시설관리공단,02-2081-2678,37.48277655,126.9275257,,2025-04-16
120-1-000017,신림동제2공영주차장,공영,노상,,서울특별시 관악구 신림동 1433-164,33,2,미시행,평일+토요일+공휴일,10:00,20:00,10:00,20:00,10:00,20:00,유료,5,250,,,,,,카드결제,,서울특별시 관악구시설관리공단,02-2081-2678,37.48462166,126.9258029,,2025-04-16
120-1-000018,신사시장공영주차장,공영,노상,,서울특별시 관악구 신림동 494-38,13,3,미시행,평일+토요일+공휴일,10:00,20:00,10:00,20:00,10:00,20:00,유료,5,150,,,,,,카드결제,,서울특별시 관악구시설관리공단,02-2081-2678,37.48667825,126.9171196,,2025-04-16
120-1-000019,신원시장공영주차장,공영,노상,,서울특별시 관악구 신림동 1587-38,56,2,미시행,평일+토요일,10:00,20:00,10:00,20:00,00:00,00:00,유료,5,250,,,,,100000,카드결제,,서울특별시 관악구시설관리공단,02-2081-2678,37.48263121,126.9272563,,2025-04-16
120-1-000025,신림동제3공영주차장,공영,노상,,서울특별시 관악구 신림동 1467-12,37,2,미시행,평일+토요일+공휴일,10:00,20:00,10:00,20:00,10:00,20:00,유료,5,250,,,,,,카드결제,,서울특별시 관악구시설관리공단,02-2081-2678,37.48702997,126.9258893,,2025-04-16
120-1-000026,인헌시장노상공영주차장,공영,노상,,서울특별시 관악구 봉천동 1693-66,11,2,미시행,평일+토요일+공휴일,10:00,20:00,10:00,20:00,10:00,20:00,유료,5,250,,,,,,카드결제,,서울특별시 관악구시설관리공단,02-2081-2678,37.47577785,126.9650186,,2025-04-16
120-2-000001,행운동제1공영주차장,공영,노외,서울특별시 관악구 행운4길 21,서울특별시 관악구 봉천동 1677-10,142,3,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,5,150,,,,,,카드결제,,서울특별시 관악구시설관리공단,02-2081-2679,37.479744,126.960471,,2025-04-16
120-2-000002,조원동제1공영주차장,공영,노외,서울특별시 관악구 조원중앙로2길 19,서울특별시 관악구 신림동 571-6,109,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,5,250,,,,,,카드결제,,서울특별시 관악구시설관리공단,02-2081-2679,37.481073,126.905712,,2025-04-16
120-2-000003,원신공영주차장,공영,노외,서울특별시 관악구 양지길 63,서울특별시 관악구 신림동 366,172,5,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,5,50,,,,,,카드결제,,서울특별시 관악구시설관리공단,02-2081-2679,37.470107,126.929213,,2025-04-16
120-2-000004,보라매제1공영주차장,공영,노외,서울특별시 관악구 봉천로 21길 38,서울특별시 관악구 봉천동 산 110-4,131,5,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,5,50,,,,,,카드결제,,서울특별시 관악구시설관리공단,02-2081-2679,37.488508,126.934495,,2025-04-16
120-2-000005,신사동제1공영주차장,공영,노외,서울특별시 관악구 남부순환로 153길 51,서울특별시 관악구 신림동 511-1,41,5,미시행,평일+토요일,09:00,18:00,09:00,18:00,00:00,00:00,유료,5,50,,,,,,카드결제,,서울특별시 관악구시설관리공단,02-2081-2679,37.48444806,126.915444,,2025-04-16
120-2-000006,난곡동제1공영주차장,공영,노외,서울특별시 관악구 난곡로 34길 71,서울특별시 관악구 신림동 626-82,119,5,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,5,50,,,,,,카드결제,,서울특별시 관악구시설관리공단,02-2081-2679,37.47221023,126.9231529,,2025-04-16
120-2-000007,난우중공영주차장,공영,노외,서울특별시 관악구 난곡로 16길 32,서울특별시 관악구 신림동 652-156,71,5,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,0,0,,,,,,카드결제,,서울특별시 관악구시설관리공단,02-2081-2679,37.466806,126.9228283,,2025-04-16
