주차장관리번호,주차장명,주차장구분,주차장유형,소재지도로명주소,소재지지번주소,주차구획수,급지구분,부제시행구분,운영요일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,요금정보,주차기본시간,주차기본요금,추가단위시간,추가단위요금,1일주차권요금적용시간,1일주차권요금,월정기권요금,결제방법,특기사항,관리기관명,전화번호,위도,경도,장애인전용주차구역보유여부,데이터기준일자
116-2-000001,구로2동 마을공동,공영,노외,서울특별시 구로구 구로동로28길 81,서울특별시 구로구 구로동 317-187,81,4,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,5,100,5,100,,,65000,신용카드+교통카드,,서울특별시 구로구시설관리공단,02-839-4875,37.491491,126.8883001,,2025-09-03
116-2-000002,구로3동 마을공동,공영,노외,서울특별시 구로구 도림로6길 30,서울특별시 구로구 구로동 797-1,20,5,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,5,50,5,50,,,50000,신용카드+교통카드,정기권전용,서울특별시 구로구시설관리공단,02-839-4875,37.4850219,126.888408,,2025-09-03
116-2-000003,구로아트밸리 지하,공영,노외,서울특별시 구로구 가마산로25길 21,서울특별시 구로구 구로동 102,245,3,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,5,150,5,150,,,112000,신용카드+교통카드,,서울특별시 구로구시설관리공단,02-839-4875,37.4971037,126.889559,,2025-09-03
116-2-000004,구로5동 마을공동,공영,노외,,서울특별시 구로구 구로동 549-73,77,4,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,5,100,5,100,,,65000,신용카드+교통카드,,서울특별시 구로구시설관리공단,02-839-4875,37.500809,126.886021,,2025-09-03
116-2-000005,구로리공원 지하,공영,노외,서울특별시 구로구 구로중앙로 13,서울특별시 구로구 구로동 139-82,203,3,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,5,150,5,150,,,105000,신용카드+교통카드,,서울특별시 구로구시설관리공단,02-839-4875,37.4904165,126.891578,,2025-09-03
116-2-000006,하늘공원 주차장,공영,노외,서울특별시 구로구 벚꽃로 370,서울특별시 구로구 가리봉동 1-11,198,3,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,5,150,5,150,,,80000,신용카드+교통카드,,서울특별시 구로구시설관리공단,02-839-4875,37.4872382,126.8808103,,2025-09-03
116-2-000007,고척1동 마을공동,공영,노외,서울특별시 구로구 중앙로8길 16,서울특별시 구로구 고척동 52-54,125,4,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,5,100,5,100,,,65000,신용카드+교통카드,,서울특별시 구로구시설관리공단,02-839-4875,37.5023063,126.863882,,2025-09-03
116-2-000008,고척리본타운,공영,노외,,서울특별시 구로구 고척동 156,66,3,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,5,150,5,150,,,112000,신용카드+교통카드,,서울특별시 구로구시설관리공단,02-839-4875,37.5051278,126.8573617,,2025-09-03
116-2-000009,개봉1동 마을공동,공영,노외,,서울특별시 구로구 개봉동 416-2,56,5,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,5,50,5,50,,,50000,신용카드+교통카드,야간은 정기권 차량만 이용,서울특별시 구로구시설관리공단,02-839-4875,37.5045463,126.8456674,,2025-09-03
116-2-000010,개봉1동 노외,공영,노외,서울특별시 구로구 경인로33길 51,서울특별시 구로구 개봉동 134-8,134,4,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,5,100,5,100,,,75000,신용카드+교통카드,,서울특별시 구로구시설관리공단,02-839-4875,37.5002403,126.8511374,,2025-09-03
116-2-000011,오류1동 텃골,공영,노외,서울특별시 구로구 경인로15길 22,서울특별시 구로구 오류동 6-11,81,4,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,5,100,5,100,,,65000,신용카드+교통카드,,서울특별시 구로구시설관리공단,02-839-4875,37.4954745,126.8391873,,2025-09-03
116-2-000012,고척근린공원 지하,공영,노외,서울특별시 구로구 고척로45길 39,서울특별시 구로구 고척동 산 9-14,199,3,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,5,150,5,150,,,112000,신용카드+교통카드,,서울특별시 구로구시설관리공단,02-839-4875,37.5065824,126.8532783,,2025-09-03
116-2-000013,구로4동 주택가 공동,공영,노외,서울특별시 구로구 구로동로26길 54 (구로동),서울특별시 구로구 구로동 741-27,198,4,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,5,100,5,100,,,75000,신용카드+교통카드,,서울특별시 구로구시설관리공단,02-839-4875,37.4898784,126.8865593,,2025-09-03
116-2-000014,고척동 소규모,공영,노외,,서울특별시 구로구 고척동 241-50,17,5,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,5,0,0,0,,,50000,신용카드+교통카드,정기권전용,서울특별시 구로구시설관리공단,02-839-4876,37.506008,126.849710,,2025-09-03
116-2-000015,고척동 삼덕마을,공영,노외,,서울특별시 구로구 고척동 241-21,16,5,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,5,0,0,0,,,50000,신용카드+교통카드,정기권전용,서울특별시 구로구시설관리공단,02-839-4875,37.506687,126.848479,,2025-09-03
116-2-000016,구로미래도서관 공영주차장,공영,노외,서울특별시 구로구 새말로 121-15,서울특별시 구로구 구로동 1-4,52,3,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,30,150,5,150,,,140000,신용카드+교통카드,,서울특별시 구로구시설관리공단,02-839-4875,37.50786379,126.8922179,,2025-09-03
116-2-000017,구로2동 소공원 공영주차장,공영,노외,,서울특별시 구로구 구로동 454-1,104,4,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,5,150,5,150,,,100000,신용카드+교통카드,,서울특별시 구로구시설관리공단,02-839-4876,37.497534,126.8838995,,2025-09-03
116-2-000018,고척근린시장 공영주차장,공영,노외,,서울특별시 구로구 고척동 253-124,20,4,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,5,100,5,100,,,60000,신용카드+교통카드,,서울특별시 구로구시설관리공단,02-839-4875,37.50191134,126.849904,,2025-09-03
116-4-000001,가리봉주차장,민영,노외,서울특별시 구로구 남부순환로105라길 5,서울특별시 구로구 가리봉동 125-14,10,기타,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,60,3000,,,,,,신용카드+교통카드,,서울특별시 구로구청,,37.4802507,126.8890205,,2025-09-03
116-4-000002,시장주차장,민영,노외,서울특별시 구로구 우마길 19-1,서울특별시 구로구 가리봉동126-37,69,기타,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,60,3000,,,,,,신용카드+교통카드,,서울특별시 구로구청,,37.4812705,126.8888652,,2025-09-03
116-4-000004,영일주차장,민영,노외,서울특별시 구로구 구로동로7나길 28,서울특별시 구로구 가리봉동 10-2,28,기타,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,60,3000,,,,,,신용카드+교통카드,,서울특별시 구로구청,,37.4854528,126.8830564,,2025-09-03
116-4-000008,대건주차장,민영,노외,,서울특별시 구로구 개봉동247-4,11,기타,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,60,3000,,,,,,신용카드+교통카드,,서울특별시 구로구청,,37.4953011,126.8502246,,2025-09-03
116-4-000009,개봉역 1번출구 주차장,민영,노외,서울특별시 구로구 남부순환로95길 8-13,서울특별시 구로구 개봉동 203-31,6,기타,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,60,3000,,,,,,신용카드+교통카드,,서울특별시 구로구청,,37.4944679,126.8580288,,2025-09-03
116-4-000012,세창주차장,민영,노외,서울특별시 구로구 구로동로13길 16,서울특별시 구로구 구로동 717-9,8,기타,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,60,3000,,,,,,신용카드+교통카드,,서울특별시 구로구청,,37.487328,126.8841796,,2025-09-03
116-4-000013,대신주차장,민영,노외,,서울특별시 구로구 구로동 83-5,10,기타,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,60,3000,,,,,,신용카드+교통카드,,서울특별시 구로구청,,37.4946045,126.8885026,,2025-09-03
116-4-000015,구로본동주차장,민영,노외,서울특별시 구로구 가마산로 203,서울특별시 구로구 구로동426-6,34,기타,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,60,3000,,,,,,신용카드+교통카드,,서울특별시 구로구청,,37.493404,126.8837451,,2025-09-03
116-4-000016,신광주차장,민영,노외,서울특별시 구로구 구로중앙로19가길 7,서울특별시 구로구 구로동 86-10,9,기타,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,60,3000,,,,,,신용카드+교통카드,,서울특별시 구로구청,,37.494328,126.8889273,,2025-09-03
116-4-000017,동일주차장,민영,노외,서울특별시 구로구 디지털로32나길 51,서울특별시 구로구 구로동1124-49,65,기타,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,60,3000,,,,,,신용카드+교통카드,,서울특별시 구로구청,,37.4849029,126.9003836,,2025-09-03
