주차장관리번호,주차장명,주차장구분,주차장유형,소재지도로명주소,소재지지번주소,주차구획수,급지구분,부제시행구분,운영요일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,요금정보,주차기본시간,주차기본요금,추가단위시간,추가단위요금,1일주차권요금적용시간,1일주차권요금,월정기권요금,결제방법,특기사항,관리기관명,전화번호,위도,경도,장애인전용주차구역보유여부,데이터기준일자
117-1-000001,가산중앞,공영,노상,서울특별시 금천구 두산로14길 18 (독산동),서울특별시 금천구 독산동 300-26,19,2,미시행,평일,08:30,19:00,00:00,00:00,00:00,00:00,유료,0,0,5,250,600,15000,130000,현금+신용카드,경차50퍼센트할인,금천구시설관리공단,02-809-0061,37.4691810000,126.8948290000,Y,2025-09-01
117-1-000003,범일운수,공영,노상,서울특별시 금천구 범안로9길 23 (독산동),서울특별시 금천구 독산동 1001-2,36,2,미시행,평일,08:30,19:00,00:00,00:00,00:00,00:00,유료,0,0,5,250,600,15000,130000,현금+신용카드,경차50퍼센트할인,금천구시설관리공단,02-809-0061,37.4677280000,126.8900320000,Y,2025-09-01
117-1-000004,사조산업,공영,노상,서울특별시 금천구 두산로7길 13 (독산동),서울특별시 금천구 독산동 303-2,25,2,미시행,평일,08:30,19:00,00:00,00:00,00:00,00:00,유료,0,0,5,250,600,15000,130000,현금+신용카드,경차50퍼센트할인,금천구시설관리공단,02-809-0061,37.4714770000,126.8913260000,Y,2025-09-01
117-1-000006,모아래5길,공영,노상,서울특별시 금천구 두산로3길 23 (독산동),서울특별시 금천구 독산동 336-3,21,2,미시행,평일,08:30,19:00,00:00,00:00,00:00,00:00,유료,0,0,5,250,600,15000,130000,현금+신용카드,경차50퍼센트할인,금천구시설관리공단,02-809-0061,37.4716190000,126.8890110000,Y,2025-09-01
117-1-000008,LG전자,공영,노상,서울특별시 금천구 가산로9길 87 (가산동),서울특별시 금천구 가산동 60-32,30,2,미시행,평일,08:30,19:00,00:00,00:00,00:00,00:00,유료,0,0,5,250,600,15000,130000,현금+신용카드,경차50퍼센트할인,금천구시설관리공단,02-809-0061,37.4743850000,126.8883080000,Y,2025-09-01
117-1-000010,가산디지털환승,공영,노상,서울특별시 금천구 벚꽃로46길 1(가산동),서울특별시 금천구 가산동 35-2,41,4,미시행,평일,08:30,19:00,00:00,00:00,00:00,00:00,유료,0,0,5,100,600,10000,65000,현금+신용카드,경차50퍼센트할인,금천구시설관리공단,02-809-0061,37.4829500000,126.8825740000,Y,2025-09-01
117-1-000011,SJ테크노빌,공영,노상,서울특별시 금천구 벚꽃로 278 (가산동),서울특별시 금천구 가산동 60-19,37,2,미시행,평일,08:30,19:00,00:00,00:00,00:00,00:00,유료,0,0,5,250,600,15000,130000,현금+신용카드,경차50퍼센트할인,금천구시설관리공단,02-809-0061,37.4794930000,126.8846020000,Y,2025-09-01
117-2-000001,가산동,공영,노외,서울특별시 금천구 시흥대로153길 53 (가산동),서울특별시 금천구 가산동 148-28,130,5,미시행,평일+토요일+공휴일,09:00,18:00,09:00,18:00,09:00,18:00,유료,0,0,5,65,0,0,50000,현금+신용카드,경차50퍼센트할인,금천구시설관리공단,02-809-0061,37.4766270000,126.8955610000,Y,2025-09-01
117-2-000002,독산1동,공영,노외,서울특별시 금천구 범안로12가길 65 (독산동),서울특별시 금천구 독산동 1006-94,66,5,미시행,평일+토요일+공휴일,09:00,18:00,09:00,18:00,09:00,18:00,유료,0,0,5,65,0,0,50000,현금+신용카드,경차50퍼센트할인,금천구시설관리공단,02-809-0061,37.4649410000,126.8948820000,Y,2025-09-01
117-2-000003,독산2동,공영,노외,서울특별시 금천구 시흥대로98길 36 (독산동),서울특별시 금천구 독산동 1050-17,66,5,미시행,평일+토요일+공휴일,09:00,18:00,09:00,18:00,09:00,18:00,유료,0,0,5,65,0,0,50000,현금+신용카드,경차50퍼센트할인,금천구시설관리공단,02-809-0061,37.4638250000,126.9000340000,Y,2025-09-01
117-2-000004,독산3동,공영,노외,서울특별시 금천구 독산로108길 44 (독산동),"서울특별시 금천구 독산동 898-24,25,26",50,5,미시행,평일+토요일+공휴일,09:00,18:00,09:00,18:00,09:00,18:00,유료,0,0,5,65,0,0,50000,현금+신용카드,경차50퍼센트할인,금천구시설관리공단,02-809-0061,37.4794500000,126.9063350000,Y,2025-09-01
117-2-000005,다목적,공영,노외,서울특별시 금천구 시흥대로150길 56 (독산동),서울특별시 금천구 독산동 971,45,5,미시행,평일+토요일+공휴일,09:00,18:00,09:00,18:00,09:00,18:00,유료,0,0,5,65,0,0,50000,현금+신용카드,경차50퍼센트할인,금천구시설관리공단,02-809-0061,37.4763120000,126.9018750000,Y,2025-09-01
