주차장관리번호,주차장명,주차장구분,주차장유형,소재지도로명주소,소재지지번주소,주차구획수,급지구분,부제시행구분,운영요일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,요금정보,주차기본시간,주차기본요금,추가단위시간,추가단위요금,1일주차권요금적용시간,1일주차권요금,월정기권요금,결제방법,특기사항,관리기관명,전화번호,위도,경도,장애인전용주차구역보유여부,데이터기준일자
110-2-000021,석계역앞주차장,공영,노외,서울특별시 노원구 화랑로341.화랑로45길,"서울특별시 노원구 월계1동60-1,65-1",29,4,미시행,평일+토요일,09:00,19:00,09:00,19:00,00:00,00:00,유료,0,0,5,100,600,6000,50000,현금+신용카드,없음,노원구서비스공단,02-2289-6723,37.6155862,127.0651876,,2024-07-22
110-2-000020,마들스타디움(근린공원)주차장,공영,노외,서울특별시 노원구 덕릉로450,서울특별시 노원구 상계6·7동770-2,248,3,미시행,평일+토요일,09:00,19:00,09:00,18:00,00:00,00:00,유료,0,0,5,150,1440,11000,100000,현금+신용카드,없음,노원구서비스공단,02-2289-6723,37.64487286,127.0583049,,2024-07-22
110-2-000019,상계2동공영주차장,공영,노외,서울특별시 노원구 상계로10길 14,서울특별시 노원구 상계2동373-13외1필지,104,3,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,0,0,5,150,1440,11000,100000,현금+신용카드,없음,노원구서비스공단,02-2289-6723,37.65683176,127.0676381,,2024-07-22
110-2-000018,등나무근린공원주차장,공영,노외,서울특별시 노원구 동일로204가길,서울특별시 노원구 중계2·3동508-1,129,2,미시행,평일+토요일,10:00,21:00,10:00,22:00,00:00,00:00,유료,0,0,5,250,720,16500,180000,현금+신용카드,없음,노원구서비스공단,02-2289-6723,37.6403161,127.0676909,,2024-07-22
110-2-000017,건영백화점앞주차장,공영,노외,서울특별시 노원구 동일로203가길,서울특별시 노원구 중계2·3동507,123,2,미시행,평일+토요일,09:00,19:00,09:00,18:00,00:00,00:00,유료,0,0,5,250,600,16500,150000,현금+신용카드,없음,노원구서비스공단,02-2289-6723,37.6395423,127.0651903,,2024-07-22
110-1-000016,수락산디자인서울거리주차장,공영,노상,서울특별시 노원구 동일로242길,서울특별시 노원구 상계1동1120,64,3,미시행,평일+토요일,09:00,19:00,09:00,18:00,00:00,00:00,유료,0,0,5,150,600,16500,100000,현금+신용카드,없음,노원구서비스공단,02-2289-6723,37.6757895,127.0565291,,2024-07-22
110-1-000014,주공12단지상가 뒤주차장,공영,노상,서울특별시 노원구 한글비석로530옆,서울특별시 노원구 상계9동649,11,2,미시행,평일+토요일,09:00,19:00,09:00,18:00,00:00,00:00,유료,0,0,5,250,600,16500,180000,현금+신용카드,없음,노원구서비스공단,02-2289-6723,37.6659979,127.0579317,,2024-07-22
110-1-000013,주공11단지상가 뒤주차장,공영,노상,서울특별시 노원구 동일로227길25옆,서울특별시 노원구 상계8동652,13,2,미시행,평일+토요일,09:00,19:00,09:00,18:00,00:00,00:00,유료,0,0,5,250,600,16500,180000,현금+신용카드,없음,노원구서비스공단,02-2289-6723,37.6657378,127.0556395,,2024-07-22
110-1-000012,주공4-6단지주변주차장,공영,노상,서울특별시 노원구 동일로 1350~1384옆,서울특별시 노원구 상계6·7동720-4,15,2,미시행,평일+토요일,09:00,19:00,09:00,18:00,00:00,00:00,유료,0,0,5,250,600,16500,180000,현금+신용카드,없음,노원구서비스공단,02-2289-6723,37.6527467,127.0629849,,2024-07-22
110-1-000011,주공1-3단지주변주차장,공영,노상,서울특별시 노원구 동일로 1333~1379옆,서울특별시 노원구 상계6·7동766-2,35,2,미시행,평일+토요일,09:00,19:00,09:00,18:00,00:00,00:00,유료,0,0,5,250,600,16500,180000,현금+신용카드,없음,노원구서비스공단,02-2289-6723,37.6427545,127.0559917,,2024-07-22
110-1-000010,구청사주변주차장,공영,노상,서울특별시 노원구 노해로437,서울특별시 노원구 상계6·7동701-1,17,2,미시행,평일,09:00,19:00,00:00,00:00,00:00,00:00,유료,0,0,5,250,600,16500,180000,현금+신용카드,없음,노원구서비스공단,02-2289-6723,37.65458133,127.0562972,,2024-07-22
110-1-000009,주공7단지 옆주차장,공영,노상,서울특별시 노원구 동일로220길,서울특별시 노원구 상계10동692-2,16,2,미시행,평일+토요일,09:00,19:00,09:00,18:00,00:00,00:00,유료,0,0,5,250,600,16500,180000,현금+신용카드,없음,노원구서비스공단,02-2289-6723,37.658447,127.0599957,,2024-07-22
110-1-000008,주공6단지상가주변주차장,공영,노상,서울특별시 노원구 동일로218길,서울특별시 노원구 상계6·7동720,38,2,미시행,평일+토요일,09:00,19:00,09:00,18:00,00:00,00:00,유료,0,0,5,250,600,16500,180000,현금+신용카드,없음,노원구서비스공단,02-2289-6723,37.6541107,127.0645944,,2024-07-22
110-1-000007,주공3단지상가주변주차장,공영,노상,서울특별시 노원구 동일로217길,서울특별시 노원구 상계6·7동735,41,2,미시행,평일+토요일,09:00,19:00,09:00,18:00,00:00,00:00,유료,0,0,5,250,600,16500,180000,현금+신용카드,없음,노원구서비스공단,02-2289-6723,37.6531164,127.0579964,,2024-07-22
110-1-000006,(구)북부지법주변주차장,공영,노상,서울특별시 노원구 동일로174길 27,서울특별시 노원구 공릉1동622,11,2,미시행,평일+토요일,09:00,19:00,09:00,18:00,00:00,00:00,유료,0,0,5,250,600,16500,180000,현금+신용카드,없음,노원구서비스공단,02-2289-6723,37.620174,127.0769385,,2024-07-22
110-1-000005,유경백화점 뒤주차장,공영,노상,서울특별시 노원구 중계로17길,서울특별시 노원구 중계본동364-16,29,2,미시행,평일+토요일,09:00,19:00,09:00,18:00,00:00,00:00,유료,0,0,5,250,600,16500,180000,현금+신용카드,없음,노원구서비스공단,02-2289-6723,37.650302,127.0775454,,2024-07-22
110-1-000004,신한증권 옆주차장,공영,노상,서울특별시 노원구 중계로18길,서울특별시 노원구 중계본동366-14,29,2,미시행,평일+토요일,09:00,19:00,09:00,18:00,00:00,00:00,유료,0,0,5,250,600,16500,180000,현금+신용카드,없음,노원구서비스공단,02-2289-6723,37.6513157,127.0778023,,2024-07-22
110-1-000003,주공5단지 옆주차장,공영,노상,서울특별시 노원구 중계로20길,서울특별시 노원구 중계1동359-16,30,2,미시행,평일+토요일,09:00,19:00,09:00,18:00,00:00,00:00,유료,0,0,5,250,600,16500,180000,현금+신용카드,없음,노원구서비스공단,02-2289-6723,37.6516166,127.0764455,,2024-07-22
110-1-000002,청구건영아파트 옆주차장,공영,노상,서울특별시 노원구 중계로19길,"서울특별시 노원구 중계1동360-2,15",39,2,미시행,평일+토요일,09:00,19:00,09:00,18:00,00:00,00:00,유료,0,0,5,250,600,16500,180000,현금+신용카드,없음,노원구서비스공단,02-2289-6723,37.649959,127.0739725,,2024-07-22
110-1-000001,한신동성아파트 옆주차장,공영,노상,서울특별시 노원구 노원로14길,서울특별시 노원구 하계1동256-7,15,2,미시행,평일+토요일,09:00,19:00,09:00,18:00,00:00,00:00,유료,0,0,5,250,600,16500,180000,현금+신용카드,없음,노원구서비스공단,02-2289-6723,37.6396737,127.0744426,,2024-07-22
110-2-000024,한글비공영주차장,공영,노외,서울특별시 노원구 노원로16길,서울특별시 노원구 하계1동256-1,116,3,미시행,평일+토요일+공휴일,09:00,19:00,09:00,19:00,00:00,23:59,유료,0,0,5,150,1440,11000,100000,현금+신용카드,없음,노원구서비스공단,02-2289-6723,37.6439379,127.075519,,2024-07-22
110-2-000025,상계역 서측 주택가 공영주차장,공영,노외,서울특별시 노원구 상계로23다길 49,서울특별시 노원구 상계동 169-409,29,3,미시행,평일,09:00,19:00,00:00,00:00,00:00,00:00,유료,0,0,5,150,600,11000,30000,현금+신용카드,없음,노원구서비스공단,02-2289-6723,37.6600051,127.071002,,2024-07-22
110-2-000026,공릉동 노외(구기계식)주차장,공영,노외,서울특별시 노원구 동일로174길,서울특별시 노원구 공릉동 633-19,15,2,미시행,평일+토요일,09:00,19:00,09:00,18:00,00:00,00:00,유료,0,0,5,250,600,16500,180000,현금+신용카드,없음,노원구서비스공단,02-2289-6723,37.6201058,127.0774206,,2024-07-22
