주차장관리번호,주차장명,주차장구분,주차장유형,소재지도로명주소,소재지지번주소,주차구획수,급지구분,부제시행구분,운영요일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,요금정보,주차기본시간,주차기본요금,추가단위시간,추가단위요금,1일주차권요금적용시간,1일주차권요금,월정기권요금,결제방법,특기사항,관리기관명,전화번호,위도,경도,장애인전용주차구역보유여부,데이터기준일자
105-1-000001,회기역 주변,공영,노상,서울특별시 동대문구 망우로 21,서울특별시 동대문구 휘경동 312-17,70,2,미시행,평일+토요일,09:00,19:00,09:00,15:00,00:00,00:00,혼합,10,500,10,500,,,,신용카드+계좌이체,경차 50프로 할인+저공해 50프로 할인+장애인 차량 80프로 할인+고엽제 80프로 할인+국가유공자 80프로 할인+다둥이50프로 할인+모범납세자 100프로 할인,동대문구 시설관리공단,02-6929-0895,37.58829448,127.055742,,2025-05-01
105-1-000002,청량리시장제4,공영,노상,서울특별시 동대문구 경동시장로 47,서울특별시 동대문구 제기동 768,49,2,미시행,평일+토요일,09:00,19:00,09:00,15:00,00:00,00:00,혼합,10,500,10,500,,,,계좌이체,경차 50프로 할인+저공해 50프로 할인+장애인 차량 80프로 할인+고엽제 80프로 할인+국가유공자 80프로 할인+다둥이50프로 할인+모범납세자 100프로 할인,동대문구 시설관리공단,02-6929-0895,37.58325164,127.0401598,,2025-05-01
105-1-000003,청량리시장제3,공영,노상,서울특별시 동대문구 경동시장로 40,서울특별시 동대문구 제기동 620-2,67,2,미시행,평일+토요일+공휴일,09:00,19:00,09:00,15:00,00:00,23:59,혼합,10,1000,10,1000,,,,신용카드+계좌이체,경차 50프로 할인+저공해 50프로 할인+장애인 차량 80프로 할인+고엽제 80프로 할인+국가유공자 80프로 할인+다둥이50프로 할인+모범납세자 100프로 할인,동대문구 시설관리공단,02-6929-0895,37.58242616,127.040656,,2025-05-01
105-1-000004,청량리시장제2,공영,노상,서울특별시 동대문구 경동시장로 19-1,서울특별시 동대문구 제기동 988,45,2,미시행,평일+토요일+공휴일,09:00,19:00,09:00,15:00,00:00,23:59,혼합,10,1000,10,1000,,,,신용카드+계좌이체,경차 50프로 할인+저공해 50프로 할인+장애인 차량 80프로 할인+고엽제 80프로 할인+국가유공자 80프로 할인+다둥이50프로 할인+모범납세자 100프로 할인,동대문구 시설관리공단,02-6929-0895,37.5807432,127.0403784,,2025-05-01
105-1-000005,청량리시장제1,공영,노상,서울특별시 동대문구 경동시장로 1,서울특별시 동대문구 제기동 1000,48,2,미시행,평일+토요일+공휴일,09:00,19:00,09:00,15:00,00:00,23:59,혼합,10,1000,10,1000,,,,신용카드+계좌이체,경차 50프로 할인+저공해 50프로 할인+장애인 차량 80프로 할인+고엽제 80프로 할인+국가유공자 80프로 할인+다둥이50프로 할인+모범납세자 100프로 할인,동대문구 시설관리공단,02-6929-0895,37.57913563,127.0409546,,2025-05-01
105-1-000006,동대문소방서,공영,노상,서울특별시 동대문구 장한로 34,서울특별시 동대문구 장안동 434,9,2,미시행,평일+토요일,09:00,19:00,09:00,15:00,00:00,00:00,혼합,10,500,10,500,,,,신용카드+계좌이체,경차 50프로 할인+저공해 50프로 할인+장애인 차량 80프로 할인+고엽제 80프로 할인+국가유공자 80프로 할인+다둥이50프로 할인+모범납세자 100프로 할인,동대문구 시설관리공단,02-6929-0895,37.5637529,127.0667254,,2025-05-01
105-1-000007,답십리부품상가,공영,노상,서울특별시 동대문구 황물로17길 13,서울특별시 동대문구 답십리동 959-1,79,2,미시행,평일+토요일,09:00,19:00,09:00,15:00,00:00,00:00,혼합,10,500,10,500,,,,신용카드+계좌이체,경차 50프로 할인+저공해 50프로 할인+장애인 차량 80프로 할인+고엽제 80프로 할인+국가유공자 80프로 할인+다둥이50프로 할인+모범납세자 100프로 할인,동대문구 시설관리공단,02-6929-0895,37.56472665,127.0586628,,2025-05-01
105-1-000008,용두동청계주변,공영,노상,서울특별시 동대문구 청계천로5길 47,서울특별시 동대문구 신설동 97-1,23,2,미시행,평일+토요일,09:00,19:00,09:00,15:00,00:00,00:00,혼합,10,500,10,500,,,,신용카드+계좌이체,경차 50프로 할인+저공해 50프로 할인+장애인 차량 80프로 할인+고엽제 80프로 할인+국가유공자 80프로 할인+다둥이50프로 할인+모범납세자 100프로 할인,동대문구 시설관리공단,02-6929-0895,37.57303077,127.0275891,,2025-05-01
105-1-000009,신답고가,공영,노상,서울특별시 동대문구 고미술로 11,서울특별시 동대문구 답십리동 530-5,22,2,미시행,평일+토요일,09:00,19:00,09:00,15:00,00:00,00:00,혼합,10,500,10,500,,,,신용카드+계좌이체,경차 50프로 할인+저공해 50프로 할인+장애인 차량 80프로 할인+고엽제 80프로 할인+국가유공자 80프로 할인+다둥이50프로 할인+모범납세자 100프로 할인,동대문구 시설관리공단,02-6929-0895,37.5700305,127.0504071,,2025-05-01
105-1-000010,삼희상가,공영,노상,서울특별시 동대문구 황물로 149,서울특별시 동대문구 답십리동 490-19,10,2,미시행,평일+토요일,09:00,19:00,09:00,15:00,00:00,00:00,혼합,10,500,10,500,,,,신용카드+계좌이체,경차 50프로 할인+저공해 50프로 할인+장애인 차량 80프로 할인+고엽제 80프로 할인+국가유공자 80프로 할인+다둥이50프로 할인+모범납세자 100프로 할인,동대문구 시설관리공단,02-6929-0895,37.56666889,127.0550138,,2025-05-01
105-1-000011,정릉천변,공영,노상,서울특별시 동대문구 정릉천동로 107,서울특별시 동대문구 제기동 1204,58,2,미시행,평일+토요일,09:00,19:00,09:00,15:00,00:00,00:00,혼합,10,500,10,500,,,,신용카드+계좌이체,경차 50프로 할인+저공해 50프로 할인+장애인 차량 80프로 할인+고엽제 80프로 할인+국가유공자 80프로 할인+다둥이50프로 할인+모범납세자 100프로 할인,동대문구 시설관리공단,02-6929-0895,37.58191245,127.0355354,,2025-05-01
105-1-000012,신일피혁주변,공영,노상,서울특별시 동대문구 장한로12길 18,서울특별시 동대문구 장안동 437-1,17,2,미시행,평일+토요일,09:00,19:00,09:00,15:00,00:00,00:00,혼합,10,500,10,500,,,,신용카드+계좌이체,경차 50프로 할인+저공해 50프로 할인+장애인 차량 80프로 할인+고엽제 80프로 할인+국가유공자 80프로 할인+다둥이50프로 할인+모범납세자 100프로 할인,동대문구 시설관리공단,02-6929-0895,37.56550691,127.0686919,,2025-05-01
105-1-000020,제기동공영주차장,공영,노상,서울특별시 동대문구 경동시장로 50,서울특별시 동대문구 제기동 424,20,2,미시행,평일+토요일,09:00,19:00,09:00,15:00,00:00,00:00,혼합,10,500,10,500,,,,신용카드+계좌이체,경차 50프로 할인+저공해 50프로 할인+장애인 차량 80프로 할인+고엽제 80프로 할인+국가유공자 80프로 할인+다둥이50프로 할인+모범납세자 100프로 할인,동대문구 시설관리공단,02-6929-0895,37.58347508,127.0406728,,2025-05-01
105-2-000014,외대주차빌딩,공영,노외,서울특별시 동대문구 휘경로 28,서울특별시 동대문구 이문동 306-14,84,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,10,500,10,500,,,170000,신용카드+계좌이체,경차 50프로 할인+저공해 50프로 할인+장애인 차량 80프로 할인+고엽제 80프로 할인+국가유공자 80프로 할인+다둥이50프로 할인+모범납세자 100프로 할인,동대문구 시설관리공단,02-6929-0895,37.59503764,127.0626233,,2025-05-01
105-2-000015,휘경유수지,공영,노외,서울특별시 동대문구 한천로 326,서울특별시 동대문구 휘경동 348,55,2,미시행,평일+토요일+공휴일,00:00,23:50,00:00,23:59,00:00,23:59,유료,10,500,10,500,,,170000,신용카드+계좌이체,경차 50프로 할인+저공해 50프로 할인+장애인 차량 80프로 할인+고엽제 80프로 할인+국가유공자 80프로 할인+다둥이50프로 할인+모범납세자 100프로 할인,동대문구 시설관리공단,02-6929-0895,37.59003508,127.0695883,,2025-05-01
105-2-000016,견인보관소노외,공영,노외,서울특별시 동대문구 한천로 326,서울특별시 동대문구 휘경동 348,40,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,10,500,10,500,,,170000,신용카드+계좌이체,경차 50프로 할인+저공해 50프로 할인+장애인 차량 80프로 할인+고엽제 80프로 할인+국가유공자 80프로 할인+다둥이50프로 할인+모범납세자 100프로 할인,동대문구 시설관리공단,02-6929-0895,37.59003508,127.0695883,,2025-05-01
105-2-000017,서울약령시,공영,노외,서울특별시 동대문구 약령중앙로 26,서울특별시 동대문구 제기동 1082,196,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,10,500,10,300,,,170000,신용카드+계좌이체,경차 50프로 할인+저공해 50프로 할인+장애인 차량 80프로 할인+고엽제 80프로 할인+국가유공자 80프로 할인+다둥이50프로 할인+모범납세자 100프로 할인,동대문구 시설관리공단,02-6929-0895,37.58060041,127.0375862,,2025-05-01
105-2-000018,덕원공영주차장,공영,노외,서울특별시 동대문구 장한로6길 54,서울특별시 동대문구 장안동458-8,77,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,10,500,10,500,,,170000,신용카드+계좌이체,경차 50프로 할인+저공해 50프로 할인+장애인 차량 80프로 할인+고엽제 80프로 할인+국가유공자 80프로 할인+다둥이50프로 할인+모범납세자 100프로 할인,동대문구 시설관리공단,02-6929-0895,37.56226142,127.0687101,,2025-05-01
105-2-000019,정릉천복개주차장,공영,노외,서울특별시 동대문구 정릉천동로 83,서울특별시 동대문구 제기동 271-48,137,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,10,500,10,500,,,170000,신용카드+계좌이체,경차 50프로 할인+저공해 50프로 할인+장애인 차량 80프로 할인+고엽제 80프로 할인+국가유공자 80프로 할인+다둥이50프로 할인+모범납세자 100프로 할인,동대문구 시설관리공단,02-6929-0895,37.57978654,127.0349611,,2025-05-01
