주차장관리번호,주차장명,주차장구분,주차장유형,소재지도로명주소,소재지지번주소,주차구획수,급지구분,부제시행구분,운영요일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,요금정보,주차기본시간,주차기본요금,추가단위시간,추가단위요금,1일주차권요금적용시간,1일주차권요금,월정기권요금,결제방법,특기사항,관리기관명,전화번호,위도,경도,장애인전용주차구역보유여부,데이터기준일자
119-2-000001,흑석빗물펌프장,공영,노외,서울특별시 동작구 서달로15길 6,서울특별시 동작구 흑석동 105,46,3,요일제,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,5,190,5,190,24,35000,120000,신용카드,,서울특별시 동작구시설관리공단,02-811-0983,37.508318,126.962812,,2025-02-07
119-2-000002,대방생태,공영,노외,서울특별시 동작구 대방동1길 9,서울특별시 동작구 대방동 395-1,39,3,요일제,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,5,150,5,150,24,35000,100000,신용카드,,서울특별시 동작구시설관리공단,02-811-0983,37.500189,126.9265775,,2025-02-07
119-2-000003,구릉,공영,노외,,서울특별시 동작구 신대방동 351-14,20,3,요일제,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,5,150,5,150,24,35000,100000,신용카드,,서울특별시 동작구시설관리공단,02-811-0983,37.4987247,126.9274761,,2025-02-07
119-2-000004,서광,공영,노외,서울특별시 동작구 신대방11길 32,서울특별시 동작구 신대방동 607-45,63,3,요일제,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,5,150,5,150,24,35000,100000,신용카드,,서울특별시 동작구시설관리공단,02-811-0983,37.48879406,126.9078412,,2025-02-07
119-2-000006,도화,공영,노외,서울특별시 동작구 성대로17길 지하 52,서울특별시 동작구 상도동 244-50 외 6,61,3,요일제,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,5,150,5,150,24,35000,100000,신용카드,,서울특별시 동작구시설관리공단,02-811-0983,37.49980815,126.9352451,,2025-02-07
119-2-000007,동작주차공원,공영,노외,서울특별시 동작구 현충로 213,서울특별시 동작구 동작동 326,147,4,요일제,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,5,100,5,100,,,70000,신용카드,,서울특별시 동작구시설관리공단,02-811-0983,37.50364325,126.9786893,,2025-02-07
119-2-000008,보라매공원동문,공영,노외,서울특별시 동작구 보라매로5길 28,서울특별시 동작구 신대방동 722,52,4,요일제,평일+토요일+공휴일,09:00,21:00,09:00,21:00,09:00,21:00,유료,5,100,5,100,,,50000,신용카드,,서울특별시 동작구시설관리공단,070-7204-3271,37.49388277,126.9226575,,2025-02-07
119-2-000009,동작구청부설,공영,노외,서울특별시 동작구 장승배기로 161,서울특별시 동작구 노량진동 47-2,86,2,요일제,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,5,250,5,250,,,60000,신용카드,,서울특별시 동작구시설관리공단,02-820-1440,37.51252922,126.9399439,,2025-02-07
119-2-000010,빙수골장미,공영,노외,서울특별시 동작구 국사봉16길 28,서울특별시 동작구 상도동 301-132,64,3,요일제,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,5,150,5,150,24,35000,100000,신용카드,,서울특별시 동작구시설관리공단,02-811-0983,37.49342448,126.9335544,,2025-02-07
119-2-000011,남성사계시장,공영,노외,서울특별시 동작구 동작대로27길 28-5,서울특별시 동작구 사당동 139-67,18,2,요일제,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,5,300,5,300,,,,신용카드,,서울특별시 동작구시설관리공단,02-811-0983,37.487701,126.9801271,,2025-02-07
119-1-000011,보라매병원앞,공영,노상,서울특별시 동작구 보라매로5길 44,서울특별시 동작구 신대방동 395-61,29,2,요일제,평일+토요일+공휴일,09:00,21:00,09:00,21:00,10:00,20:00,유료,5,250,5,250,,,,신용카드,,서울특별시 동작구시설관리공단,02-832-2445,37.49163756,126.9228227,,2025-02-07
119-1-000012,동작갯마을,공영,노상,서울특별시 동작구 동작대로 213,서울특별시 동작구 동작동 102-65,50,3,요일제,평일+토요일,09:00,19:00,09:00,19:00,00:00,00:00,유료,5,150,5,150,,,100000,신용카드,,서울특별시 동작구시설관리공단,02-3481-6830,37.49578448,126.982445,,2025-02-07
