주차장관리번호,주차장명,주차장구분,주차장유형,소재지도로명주소,소재지지번주소,주차구획수,급지구분,부제시행구분,운영요일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,요금정보,주차기본시간,주차기본요금,추가단위시간,추가단위요금,1일주차권요금적용시간,1일주차권요금,월정기권요금,결제방법,특기사항,관리기관명,전화번호,위도,경도,장애인전용주차구역보유여부,데이터기준일자
112-2-000001,남가좌1동 제2공영,공영,노외,,서울특별시 서대문구 남가좌1동 152-83,32,5,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,0,0,0,0,0,0,65000,이체+신용카드,거주자우선주차제,서대문구도시관리공단,02-360-8542,37.569735,126.916373,,2023-08-18
112-2-000002,남가좌2동 제1공영,공영,노외,서울특별시 서대문구 가재울로14길 22,서울특별시 서대문구 남가좌2동 64-8,71,5,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,0,0,0,0,0,0,65000,이체+신용카드,거주자우선주차제,서대문구도시관리공단,02-360-8542,37.57701887,126.9217979,,2023-08-18
112-2-000003,남가좌2동 제2공영,공영,노외,,서울특별시 서대문구 남가좌2동 3-75,95,5,미시행,평일+토요일+공휴일,10:00,19:00,10:00,19:00,10:00,19:00,유료,5,150,5,150,0,0,65000,신용카드,거주자우선주차제 병행+19시 이후 출차 시 20000원 부과,서대문구도시관리공단,02-360-8542,37.583036,126.923098,,2023-08-18
112-2-000004,미근동 공영,공영,노외,,서울특별시 서대문구 미근동 267-3,27,5,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,0,0,0,0,0,0,65000,이체+신용카드,거주자우선주차제,서대문구도시관리공단,02-360-8542,37.562169,126.9684152,,2023-08-18
112-2-000005,북가좌2동 제1공영,공영,노외,,서울특별시 서대문구 북가좌2동 73-16,22,5,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,0,0,0,0,0,0,65000,이체+신용카드,거주자우선주차제,서대문구도시관리공단,02-360-8542,37.578673,126.913443,,2023-08-18
112-2-000006,북가좌2동 제2공영,공영,노외,,서울특별시 서대문구 북가좌2동 346-20,9,5,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,0,0,0,0,0,0,65000,이체+신용카드,거주자우선주차제,서대문구도시관리공단,02-360-8542,37.580808,126.908329,,2023-08-18
112-2-000007,북성초등학교 공영,공영,노외,,서울특별시 서대문구 북아현동 215,100,5,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,0,0,0,0,0,0,65000,이체+신용카드,거주자우선주차제,서대문구도시관리공단,02-360-8542,37.55963212,126.9518349,,2023-08-18
112-2-000008,북아현가구단지 공영,공영,노외,,서울특별시 서대문구 북아현동 915,15,2,미시행,평일+토요일+공휴일,10:00,21:00,10:00,21:00,10:00,21:00,혼합,5,250,5,250,0,0,0,현금+신용카드,매주 2번째+4번째 화요일 무료개방+명절 및 운영시간 외 무료개방,서대문구도시관리공단,02-360-8542,37.55829247,126.960347,,2023-08-18
112-2-000009,북아현동 제2공영,공영,노외,서울특별시 서대문구 북아현로6길 60,서울특별시 서대문구 북아현동 121-1,50,5,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,0,0,0,0,0,0,65000,이체+신용카드,거주자우선주차제,서대문구도시관리공단,02-360-8542,37.56005012,126.9582929,,2023-08-18
112-2-000010,신촌동 제1공영,공영,노외,서울특별시 서대문구 성산로22길 40,서울특별시 서대문구 창천동 70-34,33,5,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,0,0,0,0,0,0,65000,이체+신용카드,거주자우선주차제,서대문구도시관리공단,02-360-8542,37.55912779,126.9343532,,2023-08-18
112-2-000011,신촌역동측광장 공영,공영,노외,,서울특별시 서대문구 대현동 121-19,30,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,5,350,5,350,0,0,0,신용카드,대형버스 기본 2시간 6000원+초과시 1시간마다 1000원 징수,서대문구도시관리공단,02-360-8542,37.559263,126.943231,,2023-08-18
112-2-000012,연희동 제1공영,공영,노외,,서울특별시 서대문구 연희동 151-32,24,5,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,0,0,0,0,0,0,65000,이체+신용카드,거주자우선주차제,서대문구도시관리공단,02-360-8542,37.57672649,126.934308,,2023-08-18
