주차장관리번호,주차장명,주차장구분,주차장유형,소재지도로명주소,소재지지번주소,주차구획수,급지구분,부제시행구분,운영요일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,요금정보,주차기본시간,주차기본요금,추가단위시간,추가단위요금,1일주차권요금적용시간,1일주차권요금,월정기권요금,결제방법,특기사항,관리기관명,전화번호,위도,경도,장애인전용주차구역보유여부,데이터기준일자
121-1-000001,반포복개천,공영,노상,,서울특별시 서초구 반포동 57-1,38,1,미시행,평일+토요일,09:00,21:00,09:00,21:00,00:00,00:00,유료,5,400,5,400,,,,현금+신용카드,국가유공 상이자 및 장애인+고엽제후유증 환자+5·18민주 유공상이자 80프로할인/경차·저공해자동차·다둥이50프로 할인 등,서울특별시 서초구청,02-2155-7287,37.5042121,127.0103346,Y,2025-08-11
121-1-000002,방배복개도로 제1지역,공영,노상,,서울특별시 서초구 방배동 493-3,124,2,미시행,평일+토요일+공휴일,10:00,23:00,10:00,23:00,10:00,23:00,유료,5,250,5,250,,,,현금+신용카드,국가유공 상이자 및 장애인+고엽제후유증 환자+5·18민주 유공상이자 80프로할인/경차·저공해자동차·다둥이50프로 할인 등,서울특별시 서초구청,02-2155-7284,37.4780085,126.9826064,Y,2025-08-11
121-1-000003,방배복개도로 제2지역,공영,노상,,서울특별시 서초구 방배동 493-5,148,2,미시행,평일+토요일+공휴일,10:00,23:00,10:00,23:00,10:00,23:00,유료,5,250,5,250,,,140000,현금+신용카드,국가유공 상이자 및 장애인+고엽제후유증 환자+5·18민주 유공상이자 80프로할인/경차·저공해자동차·다둥이50프로 할인 등,서울특별시 서초구청,02-2155-7284,37.4830018,126.9825637,Y,2025-08-11
121-1-000004,방배역,공영,노상,,서울특별시 서초구 방배동 910-16,9,2,미시행,평일+토요일+공휴일,09:00,21:00,09:00,21:00,09:00,21:00,유료,5,250,5,250,,,,현금+신용카드,국가유공 상이자 및 장애인+고엽제후유증 환자+5·18민주 유공상이자 80프로할인/경차·저공해자동차·다둥이50프로 할인 등,서울특별시 서초구청,02-2155-7289,37.4831582,126.9966972,N,2025-08-11
121-1-000005,방배중앙로,공영,노상,,서울특별시 서초구 방배동 760-3,52,2,미시행,평일,10:00,20:00,00:00,00:00,00:00,00:00,유료,5,250,5,250,,,,현금+신용카드,국가유공 상이자 및 장애인+고엽제후유증 환자+5·18민주 유공상이자 80프로할인/경차·저공해자동차·다둥이50프로 할인 등,서울특별시 서초구청,02-2155-7289,37.4955026,126.9857983,Y,2025-08-11
121-1-000006,방배사이길,공영,노상,,서울특별시 서초구 방배동 758-3,4,2,미시행,평일+토요일+공휴일,09:00,21:00,09:00,21:00,09:00,21:00,유료,5,250,5,250,,,,현금+신용카드,국가유공 상이자 및 장애인+고엽제후유증 환자+5·18민주 유공상이자 80프로할인/경차·저공해자동차·다둥이50프로 할인 등,서울특별시 서초구청,02-2155-7289,37.4955055,126.9887363,N,2025-08-11
121-1-000007,방배가구거리,공영,노상,,서울특별시 서초구 방배동 758-3,6,2,미시행,평일+토요일+공휴일,09:00,21:00,09:00,21:00,09:00,21:00,유료,5,250,5,250,,,,현금+신용카드,국가유공 상이자 및 장애인+고엽제후유증 환자+5·18민주 유공상이자 80프로할인/경차·저공해자동차·다둥이50프로 할인 등,서울특별시 서초구청,02-2155-7289,37.4955055,126.9887363,N,2025-08-11
121-1-000008,법원입구도로,공영,노상,,서울특별시 서초구 서초동 1711-2,23,1,미시행,평일,09:00,21:00,00:00,00:00,00:00,00:00,유료,5,400,5,400,,,,현금+신용카드,국가유공 상이자 및 장애인+고엽제후유증 환자+5·18민주 유공상이자 80프로할인/경차·저공해자동차·다둥이50프로 할인 등,서울특별시 서초구청,02-2155-7289,37.4937426,127.0108109,Y,2025-08-11
121-2-000001,교대역동측,공영,노외,서울특별시 서초구 서초대로 314,서울특별시 서초구 서초동 1674-1,26,1,미시행,평일+토요일+공휴일,09:00,23:00,09:00,23:00,09:00,23:00,유료,5,400,5,400,,,,현금+신용카드,국가유공 상이자 및 장애인+고엽제후유증 환자+5·18민주 유공상이자 80프로할인/경차·저공해자동차·다둥이50프로 할인 등,서울특별시 서초구청,02-2155-7294,37.4940332,127.0158921,Y,2025-08-11
121-2-000002,매헌시민의숲동측,공영,노외,,서울특별시 서초구 양재동 237,143,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,5,250,5,250,,,180000,현금+신용카드,국가유공 상이자 및 장애인+고엽제후유증 환자+5·18민주 유공상이자 80프로할인/경차·저공해자동차·다둥이50프로 할인 등,서울특별시 서초구청,02-2155-7284,37.4723013,127.0382044,Y,2025-08-11
121-2-000003,청계산근린광장,공영,노외,,서울특별시 서초구 원지동 361-1,95,4,미시행,평일+토요일+공휴일,09:00,18:00,09:00,18:00,09:00,18:00,유료,5,100,5,100,,,40000,현금+신용카드,국가유공 상이자 및 장애인+고엽제후유증 환자+5·18민주 유공상이자 80프로할인/경차·저공해자동차·다둥이50프로 할인 등,서울특별시 서초구청,02-2155-7268,37.4458831,127.0568139,Y,2025-08-11
121-2-000004,반포서래,공영,노외,서울특별시 서초구 사평대로22길31,서울특별시 서초구 반포동 95-13,7,3,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,5,150,5,150,,,,현금+신용카드,국가유공 상이자 및 장애인+고엽제후유증 환자+5·18민주 유공상이자 80프로할인/경차·저공해자동차·다둥이50프로 할인 등,서울특별시 서초구청,02-2155-7284,37.4981599,126.9978271,N,2025-08-11
121-2-000005,청계산청룡,공영,노외,,서울특별시 서초구 신원동 224-3,41,4,미시행,토요일+공휴일,00:00,00:00,05:00,19:00,05:00,19:00,혼합,5,100,5,100,,3000,,현금+신용카드,국가유공 상이자 및 장애인+고엽제후유증 환자+5·18민주 유공상이자 80프로할인/경차·저공해자동차·다둥이50프로 할인 등,서울특별시 서초구청,02-2155-7268,37.4465698,127.0599447,Y,2025-08-11
121-2-000010,언구비,공영,노외,서울특별시 서초구 강남대로83길 55,서울특별시 서초구 반포동 741-3,50,3,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,5,150,5,150,,,120000,현금+신용카드,국가유공 상이자 및 장애인+고엽제후유증 환자+5·18민주 유공상이자 80프로할인/경차·저공해자동차·다둥이50프로 할인 등,서울특별시 서초구청,02-2155-7287,37.5047241,127.0209708,Y,2025-08-11
