주차장관리번호,주차장명,주차장구분,주차장유형,소재지도로명주소,소재지지번주소,주차구획수,급지구분,부제시행구분,운영요일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,요금정보,주차기본시간,주차기본요금,추가단위시간,추가단위요금,1일주차권요금적용시간,1일주차권요금,월정기권요금,결제방법,특기사항,관리기관명,전화번호,위도,경도,장애인전용주차구역보유여부,데이터기준일자
107-2-000002,경동고,공영,노외,서울특별시 성북구 보문로29길 49,서울특별시 성북구 삼선동3가 43-1,123,3,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,5,150,5,150,,10000,90000,카드,,서울특별시 성북구 도시관리공단,02-6925-0023,37.58660133,127.0163213,Y,2025-08-11
107-3-000003,구청사부설,공영,부설,서울특별시 성북구 보문로 168,서울특별시 성북구 삼선동5가 411,200,2,미시행,평일+토요일+공휴일,06:00,22:00,06:00,22:00,06:00,22:00,혼합,30,1000,5,250,,15000,,카드,주중 최초 30분 무료+주말 최초 1시간 무료,서울특별시 성북구 도시관리공단,02-6925-0023,37.58945628,127.0168496,Y,2025-08-11
107-2-000004,길음환승,공영,노외,서울특별시 성북구 동소문로 260,서울특별시 성북구 하월곡동 104-112,146,3,5부제,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,5,150,5,150,,10000,120000,카드,,서울특별시 성북구 도시관리공단,02-6925-0023,37.60410063,127.0258353,Y,2025-08-11
107-2-000005,동방고개,공영,노외,서울특별시 성북구 장위로13길 9,서울특별시 성북구 장위동 230-110,64,3,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,5,150,5,150,,10000,90000,카드,,서울특별시 성북구 도시관리공단,02-6925-0023,37.61460901,127.0409876,Y,2025-08-11
107-2-000006,마을공원,공영,노외,,서울특별시 성북구 장위동 270-134,98,3,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,5,150,5,150,,10000,96000,카드,,서울특별시 성북구 도시관리공단,02-6925-0023,37.61734643,127.0529242,Y,2025-08-11
107-2-000007,벤처빌딩,공영,노외,서울특별시 성북구 화랑로 211,서울특별시 성북구 장위동 65-154,49,3,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,5,150,5,150,,10000,90000,카드,,서울특별시 성북구 도시관리공단,02-6925-0023,37.60935675,127.0530356,Y,2025-08-11
107-2-000009,정릉시장,공영,노외,서울특별시 성북구 정릉로23길 56,서울특별시 성북구 정릉동 405-4,18,3,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,5,150,5,150,,10000,,카드,,서울특별시 성북구 도시관리공단,02-6925-0023,37.60820115,127.0093728,Y,2025-08-11
107-2-000010,장위시장2,공영,노외,서울특별시 성북구 장위로40길 62,서울특별시 성북구 장위동 68-110,6,3,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,5,150,5,150,,10000,,카드,,서울특별시 성북구 도시관리공단,02-6925-0023,37.61110175,127.052485,N,2025-08-11
107-2-000011,성북동길,공영,노외,,서울특별시 성북구 성북동 237-3,26,3,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,5,150,5,150,,10000,,카드,,서울특별시 성북구 도시관리공단,02-6925-0023,37.59483642,126.9938746,Y,2025-08-11
107-3-000012,시네마부설주차장,공영,부설,서울특별시 성북구 아리랑로12길 4,서울특별시 성북구 돈암동 538-59,100,3,요일제,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,혼합,5,150,5,150,,10000,86000,카드,영화관 3시간 무료+도서관 1시간 무료,서울특별시 성북구 성북문화재단,02-6906-9624,37.59915465,127.0147755,Y,2025-08-11
107-2-000013,삼선동,공영,노외,,서울특별시 성북구 삼선동1가 278-5,133,3,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,5,150,5,150,,10000,84000,카드,,서울특별시 성북구 도시관리공단,02-6925-0023,37.5847177,127.007389,Y,2025-08-11
107-2-000014,석관동,공영,노외,,서울특별시 성북구 석관동 332-166,77,3,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,5,150,5,150,,10000,90000,카드,,서울특별시 성북구 도시관리공단,02-6925-0023,37.6070744,127.0601254,Y,2025-08-11
