주차장관리번호,주차장명,주차장구분,주차장유형,소재지도로명주소,소재지지번주소,주차구획수,급지구분,부제시행구분,운영요일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,요금정보,주차기본시간,주차기본요금,추가단위시간,추가단위요금,1일주차권요금적용시간,1일주차권요금,월정기권요금,결제방법,특기사항,관리기관명,전화번호,위도,경도,장애인전용주차구역보유여부,데이터기준일자
123-1-000001,교통공원길,공영,노상,서울특별시 송파구 올림픽로 35다길,서울특별시 송파구 신천동 10-2,85,2,요일제,평일+토요일+공휴일,09:00,21:00,09:00,21:00,09:00,21:00,유료,5,250,5,250,0,0,0,현금 카드,*면제 - 모범납세자·성실납세증· - 구정유공주민 표지 부착차량*80할인 - 장애인 자가운전차량 - 국가유공상이자 자가운전차량*50할인 - 경차(승요차1000cc미만) - 저공해차량 - 다둥이카드 소지자 (3자녀 이상)*30할인 - 승용차요일제 참여차량   (전자태그 발급차량) - 다둥이카드 소지자 (2자녀)*송파구주차장설치및관리조례에서 정한차량,서울특별시 송파구 시설관리공단,02-2157-1093,37.516555,127.103568,,2021-02-18
123-1-000002,봉상시길,공영,노상,서울특별시 송파구 올림픽로8길,서울특별시 송파구 잠실동177-8외15,52,3,요일제,평일+토요일+공휴일,09:00,21:00,09:00,21:00,09:00,21:00,유료,5,250,5,250,0,0,0,현금 카드,*면제 - 모범납세자·성실납세증· - 구정유공주민 표지 부착차량*80할인 - 장애인 자가운전차량 - 국가유공상이자 자가운전차량*50할인 - 경차(승요차1000cc미만) - 저공해차량 - 다둥이카드 소지자 (3자녀 이상)*30할인 - 승용차요일제 참여차량   (전자태그 발급차량) - 다둥이카드 소지자 (2자녀)*송파구주차장설치및관리조례에서 정한차량,서울특별시 송파구 시설관리공단,02-2147-3200,37.510249,127.078263,,2021-02-18
123-1-000003,위례성길,공영,노상,서울특별시 송파구,"서울특별시 송파구 방이동 12, 94-3",86,2,요일제,평일+토요일+공휴일,09:00,21:00,09:00,21:00,09:00,21:00,유료,5,250,0,0,0,0,0,현금 카드,*면제 - 모범납세자·성실납세증· - 구정유공주민 표지 부착차량*80할인 - 장애인 자가운전차량 - 국가유공상이자 자가운전차량*50할인 - 경차(승요차1000cc미만) - 저공해차량 - 다둥이카드 소지자 (3자녀 이상)*30할인 - 승용차요일제 참여차량   (전자태그 발급차량) - 다둥이카드 소지자 (2자녀)*송파구주차장설치및관리조례에서 정한차량,서울특별시 송파구 시설관리공단,02-2157-1093,37.516486,,,2021-02-18
123-1-000004,위례성길(방이습지),공영,노상,서울특별시 송파구,서울특별시 송파구 방이동 452-4 ∼ 452-12,47,3,요일제,평일+토요일+공휴일,09:00,18:00,09:00,18:00,09:00,18:00,유료,5,150,0,0,0,0,80000,현금 카드,*버스:15면 주차*면제 - 모범납세자·성실납세증· - 구정유공주민 표지 부착차량*80할인 - 장애인 자가운전차량 - 국가유공상이자 자가운전차량*50할인 - 경차(승요차1000cc미만) - 저공해차량 - 다둥이카드 소지자 (3자녀 이상)*30할인 - 승용차요일제 참여차량   (전자태그 발급차량) - 다둥이카드 소지자 (2자녀)*송파구주차장설치및관리조례에서 정한차량,서울특별시 송파구 시설관리공단,02-2157-1093,37.507892,127.137927,,2021-02-18
123-1-000005,로데오길,공영,노상,서울특별시 송파구,"서울특별시 송파구 문정동 3-2, 가락동 107-18",52,3,요일제,평일+토요일+공휴일,12:00,21:00,12:00,21:00,12:00,21:00,유료,0,150,0,0,0,0,0,현금 카드,*면제 - 모범납세자·성실납세증· - 구정유공주민 표지 부착차량*80할인 - 장애인 자가운전차량 - 국가유공상이자 자가운전차량*50할인 - 경차(승요차1000cc미만) - 저공해차량 - 다둥이카드 소지자 (3자녀 이상)*30할인 - 승용차요일제 참여차량   (전자태그 발급차량) - 다둥이카드 소지자 (2자녀)*송파구주차장설치및관리조례에서 정한차량,서울특별시 송파구 시설관리공단,02-2157-1093,37.4900080278,127.1237651644,,2021-02-18
123-1-000006,문정골길,공영,노상,서울특별시 송파구,서울특별시 송파구 문정동 41-14,72,3,요일제,평일+토요일+공휴일,10:00,22:00,10:00,22:00,10:00,22:00,유료,5,150,0,0,0,0,0,현금 카드,*면제 - 모범납세자·성실납세증· - 구정유공주민 표지 부착차량*80할인 - 장애인 자가운전차량 - 국가유공상이자 자가운전차량*50할인 - 경차(승요차1000cc미만) - 저공해차량 - 다둥이카드 소지자 (3자녀 이상)*30할인 - 승용차요일제 참여차량   (전자태그 발급차량) - 다둥이카드 소지자 (2자녀)*송파구주차장설치및관리조례에서 정한차량,서울특별시 송파구,02-400-1633,37.489185,127.124121,,2021-02-18
123-1-000007,비석거리,공영,노상,서울특별시 송파구,서울특별시 송파구 가락동 95-6,33,4,요일제,평일+토요일+공휴일,09:00,21:00,09:00,21:00,09:00,21:00,유료,5,100,0,0,0,0,70000,현금 카드,*면제 - 모범납세자·성실납세증· - 구정유공주민 표지 부착차량*80할인 - 장애인 자가운전차량 - 국가유공상이자 자가운전차량*50할인 - 경차(승요차1000cc미만) - 저공해차량 - 다둥이카드 소지자 (3자녀 이상)*30할인 - 승용차요일제 참여차량   (전자태그 발급차량) - 다둥이카드 소지자 (2자녀)*송파구주차장설치및관리조례에서 정한차량,서울특별시 송파구 시설관리공단,02-2157-1093,37.4954345851,127.1173449168,,2021-02-18
123-1-000008,석촌역,공영,노상,서울특별시 송파구,서울특별시 송파구 송파동 67 ∼ 68,40,2,요일제,평일+토요일+공휴일,09:00,21:00,09:00,21:00,09:00,21:00,유료,5,250,0,0,0,0,0,카드,*면제 - 모범납세자·성실납세증· - 구정유공주민 표지 부착차량*80할인 - 장애인 자가운전차량 - 국가유공상이자 자가운전차량*50할인 - 경차(승요차1000cc미만) - 저공해차량 - 다둥이카드 소지자 (3자녀 이상)*30할인 - 승용차요일제 참여차량   (전자태그 발급차량) - 다둥이카드 소지자 (2자녀)*송파구주차장설치및관리조례에서 정한차량,서울특별시 송파구,1899-7275,37.505766,127.107851,,2021-02-18
123-2-000001,마천동1,공영,노외,서울특별시 송파구 성내천로43길 6,서울특별시 송파구 마천동 214,217,5,요일제,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,유료,5,50,0,0,0,0,60000,카드,*면제 - 모범납세자·성실납세증· - 구정유공주민 표지 부착차량*80할인 - 장애인 자가운전차량 - 국가유공상이자 자가운전차량*50할인 - 경차(승요차1000cc미만) - 저공해차량 - 다둥이카드 소지자 (3자녀 이상)*30할인 - 승용차요일제 참여차량   (전자태그 발급차량) - 다둥이카드 소지자 (2자녀)*송파구주차장설치및관리조례에서 정한차량,서울특별시 송파구 시설관리공단,02-404-6275,37.4952716,127.1555532,,2021-02-18
123-2-000002,마천동2,공영,노외,서울특별시 송파구 성내천로299-7,서울특별시 송파구 마천동 364-5,116,5,요일제,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,유료,5,50,0,0,0,0,60000,카드,*면제 - 모범납세자·성실납세증· - 구정유공주민 표지 부착차량*80할인 - 장애인 자가운전차량 - 국가유공상이자 자가운전차량*50할인 - 경차(승요차1000cc미만) - 저공해차량 - 다둥이카드 소지자 (3자녀 이상)*30할인 - 승용차요일제 참여차량   (전자태그 발급차량) - 다둥이카드 소지자 (2자녀)*송파구주차장설치및관리조례에서 정한차량,서울특별시 송파구 시설관리공단,02-407-4947,37.4942782,127.1562452,,2021-02-18
