주차장관리번호,주차장명,주차장구분,주차장유형,소재지도로명주소,소재지지번주소,주차구획수,급지구분,부제시행구분,운영요일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,요금정보,주차기본시간,주차기본요금,추가단위시간,추가단위요금,1일주차권요금적용시간,1일주차권요금,월정기권요금,결제방법,특기사항,관리기관명,전화번호,위도,경도,장애인전용주차구역보유여부,데이터기준일자
114-1-000001,양천경찰서,공영,노상,,서울특별시 양천구 신정동 322-3,31,3,미시행,평일+토요일,09:00,19:00,09:00,15:00,00:00,00:00,혼합,5,150,5,150,,9000,70000,현금+신용카드,,서울특별시 양천구청 주차관리과,02-2620-3736,37.516620,126.865097,,2024-05-20
114-1-000002,굿모닝탑 앞,공영,노상,,서울특별시 양천구 신정동 323-4,17,3,미시행,평일,09:00,19:00,00:00,00:00,00:00,00:00,혼합,5,150,5,150,,,70000,현금+신용카드,,서울특별시 양천구청 주차관리과,02-2620-3736,37.516263,126.861702,,2024-05-20
114-1-000003,신정4동길,공영,노상,서울특별시 양천구 신정중앙로 11,서울특별시 양천구 신정동 872-20,112,3,미시행,평일,09:00,19:00,00:00,00:00,00:00,00:00,혼합,5,150,5,150,,9000,130000,신용카드,,서울특별시 양천구청 주차관리과,02-2620-3736,37.527965,126.853214,,2024-05-20
114-1-000004,신정4동 로데오길,공영,노상,서울특별시 양천구 목동로25길 19,서울특별시 양천구 신정동 890-1,53,3,미시행,평일,09:00,19:00,00:00,00:00,00:00,00:00,혼합,5,150,5,150,,9000,100000,신용카드,,서울특별시 양천구청 주차관리과,02-2620-3736,37.527819,126.861916,,2024-05-20
114-1-000005,신정1동 복개,공영,노상,,서울특별시 양천구 신정동 1146,145,3,미시행,평일,09:00,19:00,00:00,00:00,00:00,00:00,혼합,5,150,5,150,,9000,70000,신용카드,,서울특별시 양천구청 주차관리과,02-2620-3736,37.519317,126.853945,,2024-05-20
114-1-000006,신월1동저지1구역,공영,노상,,서울특별시 양천구 신월동 228-1,58,3,미시행,평일,09:00,19:00,00:00,00:00,00:00,00:00,혼합,5,150,5,150,,9000,70000,신용카드,,서울특별시 양천구청 주차관리과,02-2620-3736,37.529866,126.838204,,2024-05-20
114-1-000007,신월1동저지2구역,공영,노상,,서울특별시 양천구 신월동 90-1,33,3,미시행,평일,09:00,19:00,00:00,00:00,00:00,00:00,혼합,5,150,5,150,,9000,70000,신용카드,,서울특별시 양천구청 주차관리과,02-2620-3736,37.536449,126.834076,,2024-05-20
114-1-000008,곰달래로5길,공영,노상,,서울특별시 양천구 신월동 126-36,75,3,미시행,평일,09:00,19:00,00:00,00:00,00:00,00:00,혼합,5,150,5,150,,9000,70000,신용카드,,서울특별시 양천구청 주차관리과,02-2620-3736,37.529915,126.834359,,2024-05-20
114-1-000009,신월5동 복개,공영,노상,,서울특별시 양천구 신월동 53-2,54,3,미시행,평일+토요일,09:00,19:00,09:00,13:00,00:00,00:00,혼합,5,150,5,150,,12000,70000,현금+신용카드,,서울특별시 양천구청 주차관리과,02-2620-3736,37.539061,126.8268996272,,2024-05-20
114-1-000010,파리공원(전기차충전소),공영,노상,,서울특별시 양천구 목동 906-1,21,3,미시행,평일+토요일,09:00,19:00,09:00,15:00,00:00,00:00,혼합,5,150,5,150,,,100000,현금+신용카드,,서울특별시 양천구청 주차관리과,02-2620-3736,37.533828,126.876616,,2024-05-20
