주차장관리번호,주차장명,주차장구분,주차장유형,소재지도로명주소,소재지지번주소,주차구획수,급지구분,부제시행구분,운영요일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,요금정보,주차기본시간,주차기본요금,추가단위시간,추가단위요금,1일주차권요금적용시간,1일주차권요금,월정기권요금,결제방법,특기사항,관리기관명,전화번호,위도,경도,장애인전용주차구역보유여부,데이터기준일자
118-2-000001,영등포본동제1 공영주차장,공영,노외,서울특별시 영등포구 영신로10길 15,,194,4,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,5,100,5,100,0,0,70000,카드,,서울특별시 영등포구시설관리공단,02-2677-1401,37.514358,126.909151,Y,2025-06-01
118-2-000002,영등포동제1 공영주차장,공영,노외,서울특별시 영등포구 영등포로53길 28,,34,3,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,5,150,5,150,0,0,140000,카드,,영등포전통시장 상인회,02-2634-1308,37.52074776,126.910054,N,2025-06-01
118-2-000003,영등포동제2 공영주차장,공영,노외,서울특별시 영등포구 버드나루로7길 12-15,,28,4,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,5,100,5,100,0,0,100000,카드,,영등포전통시장 상인회,02-2634-1308,37.523664,126.908767,N,2025-06-01
118-2-000004,당산1동 공영주차장,공영,노외,서울특별시 영등포구 양산로 147,,91,4,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,5,100,5,100,0,0,70000,카드,,서울특별시 영등포구시설관리공단,02-2677-1401,37.523768,126.9000061,Y,2025-06-01
118-2-000005,당산2동 공영주차장,공영,노외,,서울특별시 영등포구 당산동 121-105,31,3,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,5,150,5,150,0,0,140000,카드,,서울특별시 영등포구시설관리공단,02-2677-1401,37.5282536,126.907755,N,2025-06-01
118-2-000006,도림동 공영주차장,공영,노외,서울특별시 영등포구 도신로15길 36,,26,5,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,5,50,5,50,0,0,65000,카드,,서울특별시 영등포구시설관리공단,02-2677-1401,37.50820335,126.8967334,N,2025-06-01
118-2-000007,문래동 공영주차장,공영,노외,,서울특별시 영등포구 문래동5가 3,52,3,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,5,150,5,150,0,0,98000,카드,,서울특별시 영등포구시설관리공단,02-2677-1401,37.516205,126.8878482,Y,2025-06-01
118-2-000008,양평2동청사 공영주차장,공영,노외,서울특별시 영등포구 선유로47길 30,,93,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,5,250,5,250,0,0,120000,카드,,서울특별시 영등포구시설관리공단,02-2677-1401,37.53650136,126.8940377,Y,2025-06-01
118-2-000009,영등포본동제2공영주차장,공영,노외,서울특별시 영등포구 신길로60길 34,,61,5,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,5,50,5,50,0,0,65000,카드,,서울특별시 영등포구시설관리공단,02-2677-1401,37.51332414,126.914068,Y,2025-06-01
118-2-000010,신길4동공영주차장,공영,노외,서울특별시 영등포구 가마산로 502,,23,5,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,5,50,5,50,0,0,65000,카드,,서울특별시 영등포구시설관리공단,02-2677-1401,37.505356,126.912013,N,2025-06-01
118-2-000012,대림1동공영주차장,공영,노외,서울특별시 영등포구 대림로22길 2,,155,4,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,5,100,5,100,0,0,70000,카드,,서울특별시 영등포구시설관리공단,02-2677-1401,37.49314271,126.901609,Y,2025-06-01
118-2-000013,대림2동공영주차장,공영,노외,서울특별시 영등포구 디지털로37나길 21,,151,4,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,5,100,5,100,0,0,70000,카드,,서울특별시 영등포구시설관리공단,02-2677-1401,37.49160959,126.899931,Y,2025-06-01
118-2-000014,대림3동공영주차장,공영,노외,,서울특별시 영등포구 대림동 745-1,99,5,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,5,50,5,50,0,0,65000,카드,,서울특별시 영등포구시설관리공단,02-2677-1401,37.49799341,126.900422,Y,2025-06-01
118-2-000015,신길환승(5호선)공영주차장,공영,노외,서울특별시 영등포구 경인로112길 20,,109,4,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,5,100,5,100,0,0,70000,카드,,서울특별시 영등포구시설관리공단,02-2677-1401,37.5176677,126.9143369,Y,2025-06-01
118-2-000016,영등포구청환승공영주차장,공영,노외,서울특별시 영등포구 양산로 111,,66,4,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,5,100,5,100,0,0,84000,카드,,서울특별시 영등포구시설관리공단,02-2677-1401,37.524747,126.8955205,Y,2025-06-01
118-2-000017,도림초교공영주차장,공영,노외,서울특별시 영등포구 가마산로65길 22,,145,5,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,5,50,5,50,0,0,65000,카드,,서울특별시 영등포구시설관리공단,02-2677-1401,37.50750302,126.9072907,Y,2025-06-01
118-2-000018,대림어린이공원공영주차장,공영,노외,서울특별시 영등포구 대림로 106,,198,4,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,5,100,5,100,0,0,70000,카드,,서울특별시 영등포구시설관리공단,02-2677-1401,37.49133176,126.9030162,Y,2025-06-01
118-2-000019,신길4동1동1마을공원공영주차장,공영,노외,서울특별시 영등포구 신길로40길 5,,130,5,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,5,50,5,50,0,0,65000,카드,,서울특별시 영등포구시설관리공단,02-2677-1401,37.50715227,126.911655,Y,2025-06-01
118-2-000020,영등포여고공영주차장,공영,노외,서울특별시 영등포구 영등포로62길 13,,98,5,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,5,50,5,50,0,0,65000,카드,,서울특별시 영등포구시설관리공단,02-2677-1401,37.515377,126.9153554,Y,2025-06-01
118-2-000021,당산근린공원공영주차장,공영,노외,서울특별시 영등포구 당산로27길 12,,190,3,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,5,150,5,150,0,0,100000,카드,,서울특별시 영등포구시설관리공단,02-2677-1401,37.5252165,126.895135,Y,2025-06-01
