주차장관리번호,주차장명,주차장구분,주차장유형,소재지도로명주소,소재지지번주소,주차구획수,급지구분,부제시행구분,운영요일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,요금정보,주차기본시간,주차기본요금,추가단위시간,추가단위요금,1일주차권요금적용시간,1일주차권요금,월정기권요금,결제방법,특기사항,관리기관명,전화번호,위도,경도,장애인전용주차구역보유여부,데이터기준일자
111-2-000001,수색동 공영주차장,공영,노외,서울특별시 은평구 수색로 224,서울특별시 은평구 수색동 76-31,111,4,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,5,100,5,100,,,,신용카드,경차 50프로 할인+장애인 차량 50프로 할인,서울특별시 은평구시설관리공단,02-350-5114,37.580491,126.8987778,Y,2025-07-10
111-2-000002,연광초교지하공영주차장,공영,노외,서울특별시 은평구 연서로 35길 37,서울특별시 은평구 불광동 400-6,152,4,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,5,100,5,100,,,,신용카드,경차 50프로 할인+장애인 차량 50프로 할인,서울특별시 은평구시설관리공단,02-350-5114,37.62364876,126.923909,Y,2025-07-10
111-2-000003,매바위공영주차장,공영,노외,서울특별시 은평구 가좌로 5길 16,서울특별시 은평구 응암동 747-8,80,4,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,5,100,5,100,,,,신용카드,경차 50프로 할인+장애인 차량 50프로 할인,서울특별시 은평구시설관리공단,02-350-5114,37.586576,126.9210145,Y,2025-07-10
111-2-000004,구산동마을공원지하공영주차장,공영,노외,서울특별시 은평구 서오릉로 17길 2-9,서울특별시 은평구 구산동 340-1,77,4,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,5,100,5,100,,,,신용카드,경차 50프로 할인+장애인 차량 50프로 할인,서울특별시 은평구시설관리공단,02-350-5114,37.61452363,126.908474,Y,2025-07-10
111-2-000005,연신중학교지하공영주차장,공영,노외,서울특별시 은평구 연서로 33길 16-32,서울특별시 은평구 불광동 400-4,137,4,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,5,100,5,100,,,,신용카드,경차 50프로 할인+장애인 차량 50프로 할인,서울특별시 은평구시설관리공단,02-350-5114,37.62353926,126.9242879,Y,2025-07-10
111-2-000006,봉산도시자연공원지하공영주차장,공영,노외,서울특별시 은평구 가좌로 11가길 38-11,서울특별시 은평구 신사동 산 55-5,106,4,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,5,100,5,100,,,,신용카드,경차 50프로 할인+장애인 차량 50프로 할인,서울특별시 은평구시설관리공단,02-350-5114,37.59759722,126.9041364,Y,2025-07-10
111-2-000007,응암3동 공영주차장,공영,노외,서울특별시 은평구 불광천길 436,서울특별시 은평구 응암동 580-4,160,4,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,5,100,5,100,,,,신용카드,경차 50프로 할인+장애인 차량 50프로 할인,서울특별시 은평구시설관리공단,02-350-5114,37.5934718,126.9153827,Y,2025-07-10
111-2-000008,은평평화공원지하공영주차장,공영,노외,서울특별시 은평구 서오릉로 47,서울특별시 은평구 녹번동 153-1,143,3,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,5,150,5,150,,,,신용카드,경차 50프로 할인+장애인 차량 50프로 할인,서울특별시 은평구시설관리공단,02-350-5114,37.60514883,126.923067,Y,2025-07-10
111-2-000009,은평한문화공영주차장,공영,노외,서울특별시 은평구 진관길 34,서울특별시 은평구 진관동 185,163,4,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,5,100,5,100,,,,신용카드,경차 50프로 할인+장애인 차량 50프로 할인,서울특별시 은평구시설관리공단,02-350-5114,37.64099394,126.9422225,Y,2025-07-10
111-2-000010,불광2동복합청사지하공영주차장,공영,노외,서울특별시 은평구 연서로41길 18,서울특별시 은평구 불광동 81-2,33,4,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,5,100,5,100,,,,신용카드,경차 50프로 할인+장애인 차량 50프로 할인,서울특별시 은평구시설관리공단,02-350-5114,37.6263729,126.9273036,Y,2025-07-10
111-2-000011,서신초교지하공영주차장,공영,노외,서울특별시 은평구 은평터널로 150,서울특별시 은평구 신사동 194,110,4,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,5,100,5,100,,,,신용카드,경차 50프로 할인+장애인 차량 50프로 할인,서울특별시 은평구시설관리공단,02-350-5114,37.59229405,126.9073823,Y,2025-07-10
