주차장관리번호,주차장명,주차장구분,주차장유형,소재지도로명주소,소재지지번주소,주차구획수,급지구분,부제시행구분,운영요일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,요금정보,주차기본시간,주차기본요금,추가단위시간,추가단위요금,1일주차권요금적용시간,1일주차권요금,월정기권요금,결제방법,특기사항,관리기관명,전화번호,위도,경도,장애인전용주차구역보유여부,데이터기준일자
100-2-000001,서인사마당,공영,노외,서울특별시 종로구 인사동11길 23,,45,1,미시행,평일+토요일+공휴일,08:00,22:00,08:00,22:00,08:00,22:00,유료,5,500,,,,,250000,,장애인 및 국가유공자 할인 : 80퍼센트(장애인 주차표지 부착 후 복지카드 제시)+경차 할인: 50퍼센트+저공해 차량 할인:50퍼센트+다자녀 할인:30퍼센트(2자녀) 50퍼센트(3자녀 이상)+65세 이상 종로 거주자 할인 : 30퍼센트+성실납세자:교부일로부터 1년 면제(성실납세증 표지부착 차량)+5.18 유공자 할인 : 50퍼센트(1시간 초과 시)+요일제 할인 : 30퍼센트(1 급지 제외),종로구시설관리공단,,37.57367758,126.9834278,,2024-10-04
100-1-000002,세운상가밑,공영,노상,서울특별시 종로구 종로26길 28,,29,1,미시행,평일+토요일,09:00,19:00,09:00,15:00,00:00,00:00,유료,5,500,,,,,250000,,장애인 및 국가유공자 할인 : 80퍼센트(장애인 주차표지 부착 후 복지카드 제시)+경차 할인: 50퍼센트+저공해 차량 할인:50퍼센트+다자녀 할인:30퍼센트(2자녀) 50퍼센트(3자녀 이상)+65세 이상 종로 거주자 할인 : 30퍼센트+성실납세자:교부일로부터 1년 면제(성실납세증 표지부착 차량)+5.18 유공자 할인 : 50퍼센트(1시간 초과 시)+요일제 할인 : 30퍼센트(1 급지 제외),종로구시설관리공단,,,,,2024-10-04
100-2-000003,하나로빌딩옆,공영,노외,,서울특별시 종로구 인사동 227,12,1,미시행,평일+토요일+공휴일,10:00,21:00,10:00,21:00,10:00,21:00,유료,5,500,,,,,250000,,장애인 및 국가유공자 할인 : 80퍼센트(장애인 주차표지 부착 후 복지카드 제시)+경차 할인: 50퍼센트+저공해 차량 할인:50퍼센트+다자녀 할인:30퍼센트(2자녀) 50퍼센트(3자녀 이상)+65세 이상 종로 거주자 할인 : 30퍼센트+성실납세자:교부일로부터 1년 면제(성실납세증 표지부착 차량)+5.18 유공자 할인 : 50퍼센트(1시간 초과 시)+요일제 할인 : 30퍼센트(1 급지 제외),종로구시설관리공단,,37.57134751,126.9854514,,2024-10-04
100-1-000004,대학로8가길,공영,노상,서울특별시 종로구 대학로8가길 119,,11,1,미시행,평일+토요일+공휴일,09:00,19:00,09:00,19:00,09:00,19:00,유료,5,500,,,,,250000,,장애인 및 국가유공자 할인 : 80퍼센트(장애인 주차표지 부착 후 복지카드 제시)+경차 할인: 50퍼센트+저공해 차량 할인:50퍼센트+다자녀 할인:30퍼센트(2자녀) 50퍼센트(3자녀 이상)+65세 이상 종로 거주자 할인 : 30퍼센트+성실납세자:교부일로부터 1년 면제(성실납세증 표지부착 차량)+5.18 유공자 할인 : 50퍼센트(1시간 초과 시)+요일제 할인 : 30퍼센트(1 급지 제외),종로구시설관리공단,,37.5807196,127.0035115,,2024-10-04
100-1-000005,원서공원앞,공영,노상,,서울특별시 종로구 원서동 140-1,17,1,미시행,평일+토요일+공휴일,09:00,19:00,09:00,19:00,09:00,19:00,유료,5,500,,,,,250000,,장애인 및 국가유공자 할인 : 80퍼센트(장애인 주차표지 부착 후 복지카드 제시)+경차 할인: 50퍼센트+저공해 차량 할인:50퍼센트+다자녀 할인:30퍼센트(2자녀) 50퍼센트(3자녀 이상)+65세 이상 종로 거주자 할인 : 30퍼센트+성실납세자:교부일로부터 1년 면제(성실납세증 표지부착 차량)+5.18 유공자 할인 : 50퍼센트(1시간 초과 시)+요일제 할인 : 30퍼센트(1 급지 제외),종로구시설관리공단,,,,,2024-10-04
100-1-000006,삼청공원앞,공영,노상,서울특별시 종로구 북촌로 134-1,,18,2,미시행,평일+토요일,09:00,21:00,09:00,17:00,00:00,00:00,유료,5,250,,,,,180000,,장애인 및 국가유공자 할인 : 80퍼센트(장애인 주차표지 부착 후 복지카드 제시)+경차 할인: 50퍼센트+저공해 차량 할인:50퍼센트+다자녀 할인:30퍼센트(2자녀) 50퍼센트(3자녀 이상)+65세 이상 종로 거주자 할인 : 30퍼센트+성실납세자:교부일로부터 1년 면제(성실납세증 표지부착 차량)+5.18 유공자 할인 : 50퍼센트(1시간 초과 시)+요일제 할인 : 30퍼센트(1 급지 제외),종로구시설관리공단,,37.58769948,126.9834511,,2024-10-04
100-1-000007,시민열린마당뒤,공영,노상,서울특별시 종로구 종로1길 55,,11,1,미시행,평일+토요일,09:00,19:00,09:00,15:00,00:00,00:00,유료,5,500,,,,,250000,,장애인 및 국가유공자 할인 : 80퍼센트(장애인 주차표지 부착 후 복지카드 제시)+경차 할인: 50퍼센트+저공해 차량 할인:50퍼센트+다자녀 할인:30퍼센트(2자녀) 50퍼센트(3자녀 이상)+65세 이상 종로 거주자 할인 : 30퍼센트+성실납세자:교부일로부터 1년 면제(성실납세증 표지부착 차량)+5.18 유공자 할인 : 50퍼센트(1시간 초과 시)+요일제 할인 : 30퍼센트(1 급지 제외),종로구시설관리공단,,37.57534036,126.9788833,,2024-10-04
100-1-000008,명광교회옆,공영,노상,서울특별시 종로구 성균관로 45,,8,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,5,250,,,,,180000,,장애인 및 국가유공자 할인 : 80퍼센트(장애인 주차표지 부착 후 복지카드 제시)+경차 할인: 50퍼센트+저공해 차량 할인:50퍼센트+다자녀 할인:30퍼센트(2자녀) 50퍼센트(3자녀 이상)+65세 이상 종로 거주자 할인 : 30퍼센트+성실납세자:교부일로부터 1년 면제(성실납세증 표지부착 차량)+5.18 유공자 할인 : 50퍼센트(1시간 초과 시)+요일제 할인 : 30퍼센트(1 급지 제외),종로구시설관리공단,,37.58669283,126.9965168,,2024-10-04
100-1-000009,구기동139-9,공영,노상,서울특별시 종로구 비봉길 64,,40,3,미시행,평일+토요일+공휴일,08:00,18:00,08:00,18:00,08:00,18:00,유료,5,150,,,,,100000,,장애인 및 국가유공자 할인 : 80퍼센트(장애인 주차표지 부착 후 복지카드 제시)+경차 할인: 50퍼센트+저공해 차량 할인:50퍼센트+다자녀 할인:30퍼센트(2자녀) 50퍼센트(3자녀 이상)+65세 이상 종로 거주자 할인 : 30퍼센트+성실납세자:교부일로부터 1년 면제(성실납세증 표지부착 차량)+5.18 유공자 할인 : 50퍼센트(1시간 초과 시)+요일제 할인 : 30퍼센트(1 급지 제외),종로구시설관리공단,,37.61423838,126.9559177,,2024-10-04
100-1-000010,광화문빌딩앞,공영,노상,서울특별시 종로구 세종대로 23길 47,,16,1,미시행,평일+토요일,10:00,22:00,10:00,16:00,00:00,00:00,유료,5,500,,,,,250000,,장애인 및 국가유공자 할인 : 80퍼센트(장애인 주차표지 부착 후 복지카드 제시)+경차 할인: 50퍼센트+저공해 차량 할인:50퍼센트+다자녀 할인:30퍼센트(2자녀) 50퍼센트(3자녀 이상)+65세 이상 종로 거주자 할인 : 30퍼센트+성실납세자:교부일로부터 1년 면제(성실납세증 표지부착 차량)+5.18 유공자 할인 : 50퍼센트(1시간 초과 시)+요일제 할인 : 30퍼센트(1 급지 제외),종로구시설관리공단,,37.57138648,126.9736987,,2024-10-04
