주차장관리번호,주차장명,주차장구분,주차장유형,소재지도로명주소,소재지지번주소,주차구획수,급지구분,부제시행구분,운영요일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,요금정보,주차기본시간,주차기본요금,추가단위시간,추가단위요금,1일주차권요금적용시간,1일주차권요금,월정기권요금,결제방법,특기사항,관리기관명,전화번호,위도,경도,장애인전용주차구역보유여부,데이터기준일자
101-2-000011,버티 공영주차장,공영,노외,서울특별시 중구 동호로17길 270,서울특별시 중구 신당동 432-1693,91,3,요일제,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,5,150,5,150,0,0,140000,신용카드,,서울특별시 중구청,02-2234-9747,37.549029,127.0063055,Y,2025-05-07
101-2-000012,서소문삼성생명뒤 공영주차장,공영,노외,서울특별시 중구 세종대로 23,서울특별시 중구 남대문로5가 1-1,23,1,요일제,평일+토요일,08:00,22:00,09:00,18:00,00:00,00:00,유료,5,400,5,400,960,20000,350000,신용카드,,서울특별시 중구청,02-310-9588,37.55909088,126.9738466,N,2025-05-07
101-2-000013,신당역 공영주차장,공영,노외,서울특별시 중구 다산로44길 67,서울특별시 중구 신당동 140-29,29,2,요일제,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,5,250,5,250,0,0,240000,신용카드,,서울특별시 중구청,02-2238-7004,37.56522056,127.0207514,Y,2025-05-07
101-2-000014,장충 공영주차장,공영,노외,서울특별시 중구 퇴계로50길 59,서울특별시 중구 장충동2가 193-39,106,3,요일제,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,5,150,5,150,0,0,140000,신용카드,,서울특별시 중구청,02-2277-7004,37.559936,127.0013265,Y,2025-05-07
101-2-000015,손기정체육공원 공영주차장,공영,노외,서울특별시 중구 손기정로 101,서울특별시 중구 만리동2가 6-1,162,3,요일제,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,5,150,5,150,0,0,140000,신용카드,,서울특별시 중구청,02-364-7003,37.55592073,126.9645377,Y,2025-05-07
101-2-000016,다동공원 제4 공영주차장,공영,노외,서울특별시 중구 을지로1길 48,서울특별시 중구 다동 39-3,15,1,요일제,평일+토요일,08:00,22:00,09:00,18:00,00:00,00:00,유료,5,400,5,400,0,0,350000,신용카드,,서울특별시 중구청,02-756-7008,37.5682426,126.9799468,N,2025-05-07
101-2-000017,동산 공영주차장,공영,노외,서울특별시 중구 다산로24가길 23,서울특별시 중구 신당동 333-260,83,3,요일제,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,5,150,5,150,0,0,140000,신용카드,,서울특별시 중구청,02-2280-8360,37.55631375,127.0159916,Y,2025-05-07
101-2-000018,남산동 공영주차장,공영,노외,서울특별시 중구 퇴계로20길 24,서울특별시 중구 남산동2가 30-4,48,2,요일제,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,5,250,5,250,0,0,240000,신용카드,,서울특별시 중구청,02-755-7004,37.55923346,126.985503,Y,2025-05-07
101-2-000020,신당동 공영주차장,공영,노외,서울특별시 중구 다산로33길 3,서울특별시 중구 신당동 300-6,75,2,요일제,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,5,250,5,250,0,0,240000,신용카드,,서울특별시 중구청,02-2235-7003,37.56210861,127.014538,Y,2025-05-07
101-2-000021,새싹마을 공영주차장,공영,노외,서울특별시 중구 동호로12길 97,서울특별시 중구 신당동 386-66,12,3,요일제,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,5,0,5,0,0,0,140000,현금,거주민 월정기 전용,서울특별시 중구청,02-2280-8360,37.55950762,127.0120996,N,2025-05-07
101-2-000023,묵정공원지하 공영주차장,공영,노외,서울특별시 중구 퇴계로45길 32-12,서울특별시 중구 충무로5가 21,491,1,요일제,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,5,400,5,400,0,0,350000,신용카드,,서울특별시 중구청,02-2280-8370,37.563676,126.9998008,Y,2025-05-07
101-2-000024,다산아트 공영주차장,공영,노외,서울특별시 중구 동호로17길 173,서울특별시 중구 신당동 432-612,75,3,요일제,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,5,150,5,150,0,0,140000,신용카드,,서울특별시 중구청,02-2231-4584,37.55163344,127.0043909,Y,2025-05-07
101-2-000025,황학어린이공원 공영주차장,공영,노외,서울특별시 중구 다산로48길 33,서울특별시 중구 황학동 755,113,1,요일제,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,5,400,5,400,0,0,180000,신용카드,,서울특별시 중구청,02-2256-7004,37.56748249,127.018011,Y,2025-05-07
101-1-000020,조선호텔앞 공영주차장,공영,노상,서울특별시 중구 남대문로7길 11,서울특별시 중구 소공동 28,4,1,미시행,평일+토요일,08:00,22:00,09:00,22:00,00:00,00:00,유료,5,600,5,600,0,0,250000,현금+신용카드,,서울특별시 중구청,02-2280-8360,37.56369098,126.9812519,N,2025-05-07
101-1-000021,서소문올리브타워옆 공영주차장,공영,노상,서울특별시 중구 세종대로9길 41,서울특별시 중구 서소문동 135,16,1,미시행,평일+토요일,08:00,22:00,09:00,22:00,00:00,00:00,유료,5,400,5,400,0,0,200000,현금+신용카드,,서울특별시 중구청,02-2280-8360,37.5613576,126.9729947,N,2025-05-07
101-1-000022,훈련원공원옆 공영주차장,공영,노상,서울특별시 중구 을지로39길 41,서울특별시 중구 을지로6가 1-17,9,1,미시행,평일+토요일,08:00,22:00,09:00,22:00,00:00,00:00,유료,5,350,5,350,0,0,180000,현금+신용카드,,서울특별시 중구청,02-2280-8360,37.56845681,127.0053518,N,2025-05-07
