주차장관리번호,주차장명,주차장구분,주차장유형,소재지도로명주소,소재지지번주소,주차구획수,급지구분,부제시행구분,운영요일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,요금정보,주차기본시간,주차기본요금,추가단위시간,추가단위요금,1일주차권요금적용시간,1일주차권요금,월정기권요금,결제방법,특기사항,관리기관명,전화번호,위도,경도,장애인전용주차구역보유여부,데이터기준일자
106-1-000004,우림시장,공영,노상,서울특별시 중랑구 망우로62길,서울특별시 중랑구 망우동 536-11,44,2,미시행,평일+토요일,09:00,19:00,09:00,15:00,00:00,00:00,유료,5,250,5,250,,,,현금+신용카드,,중랑구시설관리공단,02-491-4887,37.59671524,127.0987493,,2025-08-25
106-2-000001,동원시장,공영,노외,서울특별시 중랑구 상봉로11길,서울특별시 중랑구 면목동 74-33,31,4,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,5,100,5,100,,,60000,현금+신용카드,,중랑구시설관리공단,02-491-4887,37.5898756,127.0931343,,2025-08-25
106-2-000002,면목시장,공영,노외,서울특별시 중랑구 사가정로50길,서울특별시 중랑구 면목동 666-17,25,4,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,5,100,5,100,,,60000,현금+신용카드,,중랑구시설관리공단,02-491-4887,37.57764604,127.0842468,,2025-08-25
106-2-000003,망우본동,공영,노외,서울특별시 중랑구 망우로62길 52-4,서울특별시 중랑구 망우동 463-44,96,4,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,5,100,5,100,,,60000,신용카드,,중랑구시설관리공단,02-491-4887,37.59677182,127.0982722,,2025-08-25
106-2-000004,은행나무,공영,노외,서울특별시 중랑구 겸재로54가길 4,서울특별시 중랑구 면목동 107-5,97,4,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,5,100,5,100,,,60000,현금+신용카드,,중랑구시설관리공단,02-491-4887,37.58705596,127.0915758,,2025-08-25
106-2-000005,늘봄,공영,노외,서울특별시 중랑구 겸재로64길9,서울특별시 중랑구 면목동 22-12,72,4,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,5,100,5,100,,,60000,현금+신용카드,,중랑구시설관리공단,02-491-4887,37.5898196,127.0964022,,2025-08-25
106-2-000006,용마폭포,공영,노외,서울특별시 중랑구 용마산로250-12,서울특별시 중랑구 면목동 산 1-4,119,4,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,5,100,5,100,,,60000,신용카드,,중랑구시설관리공단,02-438-7210,37.57335201,127.0891221,,2025-08-25
106-2-000007,봉수대,공영,노외,서울특별시 중랑구 봉화산로45길 67,서울특별시 중랑구 상봉동 12-2,31,4,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,5,100,5,100,,,60000,신용카드,,중랑구시설관리공단,02-438-9145,37.60643693,127.0916532,,2025-08-25
106-2-000008,면목2동,공영,노외,서울특별시 중랑구 겸재로23길27,서울특별시 중랑구 면목동 146-1,199,4,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,5,100,5,100,,,60000,신용카드,,중랑구시설관리공단,02-438-7210,37.58793511,127.0808933,,2025-08-25
106-2-000011,중곡초교,공영,노외,서울특별시 중랑구 면목로23길20,서울특별시 중랑구 면목동 380,140,4,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,5,100,5,100,,,60000,신용카드,,중랑구시설관리공단,02-438-7210,37.57489173,127.083439,,2025-08-25
106-2-000012,면일초교,공영,노외,서울특별시 중랑구 용마산로100길13,서울특별시 중랑구 망우동 440,80,4,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,5,100,5,100,,,60000,신용카드,,중랑구시설관리공단,02-438-7210,37.5920416,127.0997947,,2025-08-25
