주차장관리번호,주차장명,주차장구분,주차장유형,소재지도로명주소,소재지지번주소,주차구획수,급지구분,부제시행구분,운영요일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,요금정보,주차기본시간,주차기본요금,추가단위시간,추가단위요금,1일주차권요금적용시간,1일주차권요금,월정기권요금,결제방법,특기사항,관리기관명,전화번호,위도,경도,장애인전용주차구역보유여부,데이터기준일자
117-1-000013,가산디지털역 환승,공영,노상,서울특별시 금천구 벚꽃로46길 1,서울특별시 금천구 가산동 35-2,41,4,미시행,평일,08:30,19:00,00:00,00:00,00:00,00:00,유료,5,100,5,100,630,10000,65000,현금+카드,80퍼센트할인(장애+유공자)+50퍼센트할인(저공해차량)+면제(모범납세자 1년),서울특별시 금천구시설관리공단 (구청위탁),02-809-0061,37.48294979,126.8825735,N,2024-09-03
117-1-000014,SJ테크노빌(삼보),공영,노상,서울특별시 금천구 벚꽃로278,서울특별시 금천구 가산동 60-19,37,2,미시행,평일,08:30,19:00,00:00,00:00,00:00,00:00,유료,5,250,5,250,630,15000,130000,현금+카드,80퍼센트할인(장애+유공자)+50퍼센트할인(저공해차량)+면제(모범납세자 1년),서울특별시 금천구시설관리공단 (구청위탁),02-809-0061,37.4794157,126.8846349,N,2024-09-03
117-2-000020,가산디지털서측,공영,노외,서울특별시 금천구 가산디지털1로 230,서울특별시 금천구 가산동 505-3,160,3,미시행,평일,08:30,19:00,00:00,00:00,00:00,00:00,유료,5,150,5,150,630,9000,100000,현금+카드,80퍼센트할인(장애+유공자)+50퍼센트할인(저공해차량)+면제(모범납세자 1년),서울특별시 금천구시설관리공단 (구청위탁),02-809-0061,37.48571424,126.8796914,Y,2024-09-03
117-2-000001,독산1동 공영주차장,공영,노외,서울특별시 금천구 범안로12가길 65,서울특별시 금천구 독산동 1006-94,66,5,미시행,평일+토요일+공휴일,08:30,19:00,08:30,19:00,08:30,19:00,유료,5,65,5,65,0,0,50000,현금+카드(월정기만),80퍼센트할인(장애+유공자)+50퍼센트할인(저공해차량)+면제(모범납세자 1년),서울특별시 금천구시설관리공단 (구청위탁),02-808-5115,37.46494122,126.8948157,Y,2024-09-03
117-2-000002,독산2동 공영주차장,공영,노외,서울특별시 금천구 시흥대로98길 36,서울특별시 금천구 독산동 1050-17,66,5,미시행,평일+토요일+공휴일,08:30,19:00,08:30,19:00,08:30,19:00,유료,5,65,5,65,0,0,50000,현금+카드(월정기만),80퍼센트할인(장애+유공자)+50퍼센트할인(저공해차량)+면제(모범납세자 1년),서울특별시 금천구시설관리공단 (구청위탁),02-808-2211,37.4638287,126.9000339,Y,2024-09-03
117-2-000003,독산3동 공영주차장,공영,노외,서울특별시 금천구 독산로108길 44,서울특별시 금천구 독산동 898-24,50,5,미시행,평일+토요일+공휴일,08:30,19:00,08:30,19:00,08:30,19:00,유료,5,65,5,65,0,0,50000,현금+카드,80퍼센트할인((무인시스템)장애+유공자)+50퍼센트할인(경차+저공해차량)+면제(모범납세자 1년),서울특별시 금천구시설관리공단 (구청위탁),02-809-8571,37.4794373,126.9063493,Y,2024-09-03
117-2-000004,독산4동 공영주차장,공영,노외,서울특별시 금천구 독산로78다길 9,서울특별시 금천구 독산동 187-40,63,5,미시행,평일+토요일+공휴일,08:30,19:00,08:30,19:00,08:30,19:00,유료,5,65,5,65,0,0,50000,현금+카드,80퍼센트할인((무인시스템)장애+유공자)+50퍼센트할인(경차+저공해차량)+면제(모범납세자 1년),서울특별시 금천구시설관리공단 (구청위탁),02-809-8571,37.4694056,126.9045064,Y,2024-09-03
117-2-000005,독산본동 다목적,공영,노외,서울특별시 금천구 시흥대로150길 56,서울특별시 금천구 독산동 971,46,5,미시행,평일+토요일+공휴일,08:30,19:00,08:30,19:00,08:30,19:00,유료,5,65,5,65,0,0,50000,현금+카드(월정기만),80퍼센트할인(장애+유공자)+50퍼센트할인(저공해차량)+면제(모범납세자 1년),서울특별시 금천구시설관리공단 (구청위탁),02-865-7557,37.4763283,126.9018966,Y,2024-09-03
117-2-000006,독본 구룡 공영주차장,공영,노외,서울특별시 금천구 독산로107길 13,서울특별시 금천구 독산동 964,22,5,미시행,평일+토요일+공휴일,08:30,19:00,08:30,19:00,08:30,19:00,유료,5,65,5,65,0,0,50000,현금+카드(월정기만),80퍼센트할인(장애+유공자)+50퍼센트할인(저공해차량)+면제(모범납세자 1년),서울특별시 금천구시설관리공단 (구청위탁),02-830-2323,37.4778527,126.9027669,Y,2024-09-03
117-2-000007,시흥1동 공영주차장,공영,노외,서울특별시 금천구 시흥대로51길 93,서울특별시 금천구 시흥동 555-3,82,5,미시행,평일+토요일+공휴일,08:30,19:00,08:30,19:00,08:30,19:00,유료,5,65,5,65,0,0,50000,현금+카드(월정기만),80퍼센트할인(장애+유공자)+50퍼센트할인(저공해차량)+면제(모범납세자 1년),서울특별시 금천구시설관리공단 (구청위탁),02-809-0061,37.4506859,126.8967063,Y,2024-09-03
